Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523730418672,752409777776032,-0.18195933,2.873042,9.423578
android.sensor.accelerometer,1523730418688,752409797797907,-0.18195933,2.834735,9.394848
android.sensor.accelerometer,1523730418708,752409817788532,-0.20111294,2.8538885,9.337387
android.sensor.accelerometer,1523730418728,752409837779157,-0.16280572,2.8538885,9.308656
android.sensor.accelerometer,1523730418748,752409857801032,-0.19153613,2.873042,9.356541
android.sensor.accelerometer,1523730418768,752409877793219,-0.22984336,2.8634653,9.461885
android.sensor.accelerometer,1523730418788,752409897783844,-0.22984336,2.825158,9.576807
android.sensor.accelerometer,1523730418808,752409917776032,-0.25857377,2.834735,9.548077
android.sensor.accelerometer,1523730418828,752409937796344,-0.22984336,2.882619,9.442732
android.sensor.accelerometer,1523730418848,752409957788532,-0.22026655,2.8921957,9.375694
android.sensor.accelerometer,1523730418868,752409977779157,-0.16280572,2.873042,9.346964
android.sensor.accelerometer,1523730418888,752409997801032,-0.16280572,2.9017725,9.346964
android.sensor.accelerometer,1523730418908,752410017793219,-0.19153613,2.8634653,9.394848
android.sensor.accelerometer,1523730418928,752410037783844,-0.22984336,2.8538885,9.423578
android.sensor.accelerometer,1523730418948,752410057774469,-0.15322891,2.920926,9.385271
android.sensor.accelerometer,1523730418968,752410077796344,-0.1340753,2.9017725,9.404425
android.sensor.accelerometer,1523730418988,752410097786969,-0.22984336,2.882619,9.423578
android.sensor.accelerometer,1523730419008,752410117777594,-0.21068975,2.8634653,9.509769
android.sensor.accelerometer,1523730419028,752410137801032,-0.18195933,2.873042,9.548077
android.sensor.accelerometer,1523730419048,752410157791657,-0.24899697,2.8634653,9.471462
android.sensor.accelerometer,1523730419068,752410177782282,-0.21068975,2.882619,9.375694
android.sensor.accelerometer,1523730419088,752410197774469,-0.1340753,2.873042,9.346964
android.sensor.accelerometer,1523730419108,752410217794782,-0.18195933,2.873042,9.356541
android.sensor.accelerometer,1523730419128,752410237786969,-0.19153613,2.825158,9.404425
android.sensor.accelerometer,1523730419148,752410257777594,-0.22984336,2.8060043,9.5385
android.sensor.accelerometer,1523730419168,752410277799469,-0.25857377,2.777274,9.528923
android.sensor.accelerometer,1523730419188,752410297790094,-0.23942018,2.8443117,9.461885
android.sensor.accelerometer,1523730419208,752410317780719,-0.16280572,2.8634653,9.404425
android.sensor.accelerometer,1523730419228,752410337804157,-0.22026655,2.873042,9.346964
android.sensor.accelerometer,1523730419248,752410357794782,-0.16280572,2.9017725,9.385271
android.sensor.accelerometer,1523730419268,752410377785407,-0.18195933,2.8634653,9.423578
android.sensor.accelerometer,1523730419288,752410397776032,-0.16280572,2.882619,9.461885
android.sensor.accelerometer,1523730419308,752410417797907,-0.22026655,2.8443117,9.509769
android.sensor.accelerometer,1523730419328,752410437788532,-0.18195933,2.834735,9.385271
android.sensor.accelerometer,1523730419348,752410457780719,-0.15322891,2.834735,9.385271
android.sensor.accelerometer,1523730419368,752410477802594,-0.23942018,2.825158,9.289502
android.sensor.accelerometer,1523730419388,752410497793219,-0.23942018,2.7964275,9.299079
android.sensor.accelerometer,1523730419408,752410517783844,-0.20111294,2.777274,9.452309
android.sensor.accelerometer,1523730419428,752410537774469,-0.21068975,2.7581203,9.56723
android.sensor.accelerometer,1523730419448,752410557797907,-0.2777274,2.7868507,9.5385
android.sensor.accelerometer,1523730419468,752410577788532,-0.22026655,2.72939,9.519346
android.sensor.accelerometer,1523730419488,752410597779157,-0.23942018,2.834735,9.557653
android.sensor.accelerometer,1523730419508,752410617801032,-0.18195933,2.825158,9.519346
android.sensor.accelerometer,1523730419528,752410637791657,-0.19153613,2.815581,9.519346
android.sensor.accelerometer,1523730419548,752410657783844,-0.1436521,2.7868507,9.461885
android.sensor.accelerometer,1523730419568,752410677774469,-0.17238252,2.815581,9.442732
android.sensor.accelerometer,1523730419588,752410697796344,-0.18195933,2.815581,9.3182335
android.sensor.accelerometer,1523730419608,752410717786969,-0.24899697,2.777274,9.222465
android.sensor.accelerometer,1523730419628,752410737777594,-0.1436521,2.7485435,9.356541
android.sensor.accelerometer,1523730419648,752410757801032,-0.1436521,2.815581,9.615114
android.sensor.accelerometer,1523730419668,752410777791657,-0.05746084,2.6719291,9.557653
android.sensor.accelerometer,1523730419688,752410797782282,-0.22026655,2.6910827,9.414001
android.sensor.accelerometer,1523730419708,752410817772907,-0.16280572,2.7581203,9.346964
android.sensor.accelerometer,1523730419728,752410837794782,-0.1340753,2.777274,9.423578
android.sensor.accelerometer,1523730419748,752410857786969,-0.21068975,2.7581203,9.452309
android.sensor.accelerometer,1523730419768,752410877777594,-0.17238252,2.7581203,9.586384
android.sensor.accelerometer,1523730419788,752410897799469,-0.05746084,2.7868507,9.634268
android.sensor.accelerometer,1523730419808,752410917790094,-0.047884032,2.8060043,9.691729
android.sensor.accelerometer,1523730419828,752410937780719,-0.15322891,2.7102363,9.653421
android.sensor.accelerometer,1523730419848,752410957804157,-0.18195933,2.7581203,9.624691
android.sensor.accelerometer,1523730419868,752410977793219,-0.1436521,2.8060043,9.576807
android.sensor.accelerometer,1523730419888,752410997785407,-0.12449849,2.8060043,9.442732
android.sensor.accelerometer,1523730419908,752411017776032,-0.1340753,2.7964275,9.3661175
android.sensor.accelerometer,1523730419928,752411037797907,-0.08619126,2.825158,9.251195
android.sensor.accelerometer,1523730419948,752411057790094,-0.047884032,2.873042,9.251195
android.sensor.accelerometer,1523730419968,752411077780719,-0.05746084,2.8443117,9.279925
android.sensor.accelerometer,1523730419988,752411097802594,-0.1340753,2.815581,9.279925
android.sensor.accelerometer,1523730420008,752411117793219,-0.12449849,2.8538885,9.414001
android.sensor.accelerometer,1523730420028,752411137783844,-0.20111294,2.7868507,9.461885
android.sensor.accelerometer,1523730420048,752411157776032,-0.25857377,2.7581203,9.586384
android.sensor.accelerometer,1523730420068,752411177797907,-0.23942018,2.777274,9.662998
android.sensor.accelerometer,1523730420088,752411197788532,-0.2777274,2.7964275,9.739613
android.sensor.accelerometer,1523730420108,752411217779157,-0.22984336,2.7006595,9.586384
android.sensor.accelerometer,1523730420128,752411237801032,-0.31603462,2.815581,9.615114
android.sensor.accelerometer,1523730420148,752411257793219,-0.24899697,2.7868507,9.481039
android.sensor.accelerometer,1523730420168,752411277782282,-0.5554548,2.7581203,9.442732
android.sensor.accelerometer,1523730420188,752411297774469,-0.02873042,2.930503,9.346964
android.sensor.accelerometer,1523730420208,752411317796344,-0.02873042,3.0262709,9.040505
android.sensor.accelerometer,1523730420228,752411337786969,0.019153614,3.0358477,9.021352
android.sensor.accelerometer,1523730420248,752411357779157,0.1340753,3.2082303,9.337387
android.sensor.accelerometer,1523730420268,752411377801032,0.2777274,3.0550013,9.653421
android.sensor.accelerometer,1523730420288,752411397791657,0.047884032,2.9592333,9.825804
android.sensor.accelerometer,1523730420308,752411417783844,-0.32561144,2.930503,9.787497
android.sensor.accelerometer,1523730420328,752411437772907,-0.34476504,2.9496565,9.662998
