Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523730178995,752170097794782,0.4213795,8.963891,4.644751
android.sensor.accelerometer,1523730179008,752170117785407,0.22026655,8.90643,4.3957543
android.sensor.accelerometer,1523730179028,752170137776032,0.7086837,8.801085,4.2042184
android.sensor.accelerometer,1523730179048,752170157797907,0.7182605,8.66701,3.7253778
android.sensor.accelerometer,1523730179068,752170177788532,0.61291564,8.599973,3.8786068
android.sensor.accelerometer,1523730179088,752170197780719,0.4405331,8.542512,4.2425256
android.sensor.accelerometer,1523730179108,752170217802594,0.5554548,8.504205,4.3478703
android.sensor.accelerometer,1523730179128,752170237793219,0.89064306,8.513782,4.280833
android.sensor.accelerometer,1523730179148,752170257783844,1.0630256,8.532935,3.964798
android.sensor.accelerometer,1523730179168,752170277776032,1.1875241,8.561666,3.964798
android.sensor.accelerometer,1523730179188,752170297796344,1.1492168,8.571242,4.156334
android.sensor.accelerometer,1523730179208,752170317786969,1.043872,8.552089,4.146757
android.sensor.accelerometer,1523730179228,752170337779157,0.9768343,8.552089,4.2042184
android.sensor.accelerometer,1523730179248,752170357801032,0.79487497,8.628703,4.146757
android.sensor.accelerometer,1523730179268,752170377793219,0.7565677,8.695741,4.003105
android.sensor.accelerometer,1523730179288,752170397783844,0.7565677,8.762778,4.060566
android.sensor.accelerometer,1523730179308,752170417774469,0.842759,8.820239,4.3287168
android.sensor.accelerometer,1523730179328,752170437796344,0.8714894,8.8777,4.213795
android.sensor.accelerometer,1523730179348,752170457788532,0.7278373,8.944737,4.003105
android.sensor.accelerometer,1523730179368,752170477777594,0.50757074,8.848969,4.309563
android.sensor.accelerometer,1523730179388,752170497801032,0.4213795,8.781932,4.606444
android.sensor.accelerometer,1523730179408,752170517791657,0.21068975,8.762778,4.4915223
android.sensor.accelerometer,1523730179428,752170537782282,0.11492168,8.829816,4.3287168
android.sensor.accelerometer,1523730179448,752170557772907,0.1436521,8.963891,4.2521024
android.sensor.accelerometer,1523730179468,752170577794782,0.08619126,9.165004,3.9552212
android.sensor.accelerometer,1523730179488,752170597785407,0.047884032,9.615114,3.8402996
android.sensor.accelerometer,1523730179508,752170617777594,-0.5363012,10.247183,4.0318356
android.sensor.accelerometer,1523730179528,752170637799469,-1.292869,11.137826,4.7884035
android.sensor.accelerometer,1523730179548,752170657790094,-2.0207062,12.105083,6.2823853
android.sensor.accelerometer,1523730179568,752170677780719,-2.4420857,13.043611,9.308656
android.sensor.accelerometer,1523730179588,752170697804157,-3.9073372,13.168109,13.484144
android.sensor.accelerometer,1523730179608,752170717794782,-4.7884035,12.794614,14.470555
android.sensor.accelerometer,1523730179628,752170737785407,-4.8458643,11.674128,13.397953
android.sensor.accelerometer,1523730179648,752170757777594,-5.5737014,9.299079,14.4609785
android.sensor.accelerometer,1523730179668,752170777799469,-6.981492,6.397307,15.935806
android.sensor.accelerometer,1523730179688,752170797788532,-6.167464,3.8881836,14.614207
android.sensor.accelerometer,1523730179708,752170817779157,-3.9073372,1.9440918,10.237606
android.sensor.accelerometer,1523730179728,752170837802594,-2.384625,0.6703765,5.535394
android.sensor.accelerometer,1523730179748,752170857793219,-0.545878,-0.19153613,2.3942018
android.sensor.accelerometer,1523730179768,752170877783844,1.043872,-1.1587936,0.7757214
android.sensor.accelerometer,1523730179788,752170897776032,1.0342951,-1.685518,-0.2681506
android.sensor.accelerometer,1523730179808,752170917797907,1.1971009,-2.2888567,-0.9576807
android.sensor.accelerometer,1523730179828,752170937788532,2.432509,-2.5953147,-1.0726024
android.sensor.accelerometer,1523730179848,752170957779157,3.7349546,-2.4037786,-2.1547816
android.sensor.accelerometer,1523730179868,752170977801032,3.6296098,-1.9153614,-3.8786068
android.sensor.accelerometer,1523730179888,752170997793219,3.2369606,-1.7525556,-5.0661306
android.sensor.accelerometer,1523730179908,752171017783844,4.6926355,-1.733402,-3.3039982
android.sensor.accelerometer,1523730179928,752171037774469,6.5122285,-1.3311762,-1.13964
android.sensor.accelerometer,1523730179948,752171057796344,7.374141,-0.9576807,-1.1492168
android.sensor.accelerometer,1523730179968,752171077788532,8.456321,-0.48841715,-2.3558946
android.sensor.accelerometer,1523730179988,752171097777594,10.036493,-0.5363012,-2.7485435
android.sensor.accelerometer,1523730180008,752171117799469,11.760319,-0.5363012,-0.40222588
android.sensor.accelerometer,1523730180028,752171137791657,14.039598,-0.5363012,1.1204864
android.sensor.accelerometer,1523730180048,752171157783844,16.060305,-0.32561144,-0.50757074
android.sensor.accelerometer,1523730180068,752171177772907,17.563864,-0.25857377,-2.1930888
