Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523730156731,752147837791657,-0.12107349,-0.11725122,-0.07253588
android.sensor.gyroscope,1523730156750,752147857782282,-0.11861257,-0.12625712,-0.08290314
android.sensor.gyroscope,1523730156770,752147877804157,-0.11780973,-0.1308997,-0.085887656
android.sensor.gyroscope,1523730156790,752147897794782,-0.11098549,-0.13252285,-0.08370599
android.sensor.gyroscope,1523730156810,752147917785407,-0.10389945,-0.13226105,-0.07361799
android.sensor.gyroscope,1523730156830,752147937776032,-0.10035643,-0.13880603,-0.07661995
android.sensor.gyroscope,1523730156850,752147957799469,-0.08726646,-0.12625712,-0.06298893
android.sensor.gyroscope,1523730156870,752147977790094,-0.07990117,-0.11917108,-0.050440013
android.sensor.gyroscope,1523730156890,752147997780719,-0.06544985,-0.10716321,-0.034348078
android.sensor.gyroscope,1523730156910,752148017802594,-0.06380924,-0.11316715,-0.038449604
android.sensor.gyroscope,1523730156930,752148037793219,-0.059986968,-0.124354705,-0.06435029
android.sensor.gyroscope,1523730156950,752148057783844,-0.05071927,-0.12571606,-0.06899287
android.sensor.gyroscope,1523730156970,752148077776032,-0.042533673,-0.13798574,-0.092170835
android.sensor.gyroscope,1523730156990,752148097797907,-0.019076448,-0.13334316,-0.10580186
android.sensor.gyroscope,1523730157010,752148117788532,0.002984513,-0.14507176,-0.1437104
android.sensor.gyroscope,1523730157030,752148137779157,0.0283616,-0.17097245,-0.20507619
android.sensor.gyroscope,1523730157050,752148157802594,0.036529742,-0.23698081,-0.41887903
android.sensor.gyroscope,1523730157070,752148177793219,0.017453292,-0.33105406,-0.7382045
android.sensor.gyroscope,1523730157090,752148197783844,-0.019634955,-0.41341615,-1.0321877
android.sensor.gyroscope,1523730157111,752148217776032,-0.07143632,-0.45458844,-1.181902
android.sensor.gyroscope,1523730157131,752148237796344,-0.1229759,-0.4851317,-1.280356
android.sensor.gyroscope,1523730157151,752148257786969,-0.24951227,-0.5764997,-1.5435169
android.sensor.gyroscope,1523730157171,752148277779157,-0.40386918,-0.70385635,-1.87677
android.sensor.gyroscope,1523730157191,752148297801032,-0.5383119,-0.8336565,-2.1642082
android.sensor.gyroscope,1523730157211,752148317791657,-0.6479535,-0.9749235,-2.4658186
android.sensor.gyroscope,1523730157232,752148337782282,-0.7575776,-1.154099,-2.7998745
android.sensor.gyroscope,1523730157250,752148357774469,-0.85875434,-1.3738883,-3.176761
android.sensor.gyroscope,1523730157270,752148377796344,-0.94301885,-1.6490569,-3.6387322
android.sensor.gyroscope,1523730157291,752148397786969,-0.96565574,-1.883315,-4.000347
android.sensor.gyroscope,1523730157310,752148417777594,-0.99838066,-2.1963747,-4.509756
android.sensor.gyroscope,1523730157330,752148437801032,-1.042555,-2.5888119,-5.2187963
android.sensor.gyroscope,1523730157350,752148457791657,-1.0297443,-2.8915045,-5.84057
android.sensor.gyroscope,1523730157370,752148477780719,-1.0041053,-3.07068,-6.3009005
android.sensor.gyroscope,1523730157390,752148497804157,-0.9937381,-3.1467588,-6.64288
android.sensor.gyroscope,1523730157410,752148517794782,-1.0220997,-3.1320457,-6.823958
android.sensor.gyroscope,1523730157430,752148537783844,-1.0578266,-3.0532267,-6.801042
android.sensor.gyroscope,1523730157450,752148557776032,-1.1071845,-2.905694,-6.6262474
android.sensor.gyroscope,1523730157470,752148577797907,-1.197994,-2.7598019,-6.3963523
android.sensor.gyroscope,1523730157490,752148597790094,-1.3640795,-2.6313457,-6.148725
android.sensor.gyroscope,1523730157510,752148617780719,-1.5887907,-2.524444,-5.8686695
android.sensor.gyroscope,1523730157530,752148637802594,-1.870225,-2.4289923,-5.5406
android.sensor.gyroscope,1523730157550,752148657794782,-2.2356446,-2.4052732,-5.1967177
android.sensor.gyroscope,1523730157570,752148677785407,-2.6856253,-2.469641,-4.8206515
android.sensor.gyroscope,1523730157590,752148697776032,-3.1844056,-2.6128101,-4.3859425
android.sensor.gyroscope,1523730157610,752148717797907,-3.6291852,-2.8189685,-3.8629024
android.sensor.gyroscope,1523730157630,752148737788532,-4.006892,-3.1061275,-3.285303
android.sensor.gyroscope,1523730157650,752148757780719,-4.2714143,-3.4911995,-2.6899886
android.sensor.gyroscope,1523730157670,752148777801032,-4.369589,-3.9218073,-2.130925
android.sensor.gyroscope,1523730157690,752148797793219,-4.268412,-4.286686,-1.6820611
android.sensor.gyroscope,1523730157710,752148817783844,-4.044242,-4.536477,-1.3736265
android.sensor.gyroscope,1523730157731,752148837776032,-3.7619874,-4.633849,-1.1832634
android.sensor.gyroscope,1523730157750,752148857796344,-3.4772892,-4.581489,-1.0643716
android.sensor.gyroscope,1523730157770,752148877786969,-3.1854877,-4.349413,-1.0013827
android.sensor.gyroscope,1523730157790,752148897779157,-2.9234264,-4.0254273,-0.9585523
android.sensor.gyroscope,1523730157810,752148917801032,-2.6807036,-3.6572676,-0.9021083
android.sensor.gyroscope,1523730157830,752148937793219,-2.447545,-3.2383885,-0.8036543
android.sensor.gyroscope,1523730157850,752148957783844,-2.1857457,-2.7439718,-0.68422145
android.sensor.gyroscope,1523730157870,752148977774469,-1.8884985,-2.2162888,-0.5704958
android.sensor.gyroscope,1523730157890,752148997796344,-1.5666949,-1.7044188,-0.46033058
android.sensor.gyroscope,1523730157910,752149017786969,-1.207541,-1.2143651,-0.3332357
android.sensor.gyroscope,1523730157930,752149037777594,-0.7799353,-0.7112217,-0.21978931
android.sensor.gyroscope,1523730157950,752149057801032,-0.4273264,-0.34606388,-0.13498376
android.sensor.gyroscope,1523730157970,752149077791657,-0.23287928,-0.17289232,-0.09189159
android.sensor.gyroscope,1523730157990,752149097782282,-0.13798574,-0.09871582,-0.07007497
android.sensor.gyroscope,1523730158010,752149117804157,-0.072797686,-0.055902895,-0.04935791
android.sensor.gyroscope,1523730158031,752149137794782,-0.007347836,-0.020996312,-0.032724924
android.sensor.gyroscope,1523730158050,752149157785407,0.09707521,0.03817035,-2.6179937E-4
android.sensor.gyroscope,1523730158070,752149177777594,0.19334757,0.093811445,0.0109083075
android.sensor.gyroscope,1523730158090,752149197797907,0.25251424,0.11943288,-0.011170107
android.sensor.gyroscope,1523730158110,752149217790094,0.22879522,0.10416125,-0.05644395
android.sensor.gyroscope,1523730158131,752149237782282,0.2506118,0.1137082,-0.10934488
android.sensor.gyroscope,1523730158150,752149257804157,0.3806912,0.17235126,-0.15079644
android.sensor.gyroscope,1523730158170,752149277794782,0.58522636,0.25687757,-0.16334537
android.sensor.gyroscope,1523730158190,752149297785407,0.8366585,0.3588746,-0.1513375
android.sensor.gyroscope,1523730158210,752149317776032,1.1797204,0.48432887,-0.09025098
android.sensor.gyroscope,1523730158231,752149337797907,1.6046033,0.6294006,0.017453292
android.sensor.gyroscope,1523730158250,752149357788532,2.029207,0.78457785,0.16634732
android.sensor.gyroscope,1523730158270,752149377780719,2.470182,0.9653765,0.37196457
android.sensor.gyroscope,1523730158290,752149397802594,2.9828725,1.194451,0.6645865
android.sensor.gyroscope,1523730158310,752149417793219,3.5001879,1.4415197,0.9683785
android.sensor.gyroscope,1523730158330,752149437783844,3.9419832,1.6206952,1.1614468
android.sensor.gyroscope,1523730158350,752149457774469,4.298414,1.6512386,1.1467336
android.sensor.gyroscope,1523730158370,752149477797907,4.6679354,1.4805279,0.9561088
android.sensor.gyroscope,1523730158390,752149497786969,4.980995,0.91820025,0.4873134
android.sensor.gyroscope,1523730158410,752149517779157,5.0491676,-0.044436082,-0.31796408
android.sensor.gyroscope,1523730158431,752149537801032,8.457202,-2.6179938,-7.263013
android.sensor.gyroscope,1523730158450,752149557793219,-8.927621,-2.9397802,-6.3374476
android.sensor.gyroscope,1523730158470,752149577782282,-8.260033,-2.9877768,-5.7290435
android.sensor.gyroscope,1523730158490,752149597774469,-7.250202,-2.7123463,-5.142438
android.sensor.gyroscope,1523730158510,752149617796344,-6.358165,-2.4415412,-4.6256638
