Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523730345875,752336977776032,1.5514427,4.606444,8.2169
android.sensor.accelerometer,1523730345888,752336997796344,1.4748282,4.6160207,8.2169
android.sensor.accelerometer,1523730345908,752337017788532,1.4269443,4.5681367,8.331821
android.sensor.accelerometer,1523730345928,752337037779157,1.5035586,4.5394063,8.255207
android.sensor.accelerometer,1523730345948,752337057801032,1.4748282,4.4244847,8.101978
android.sensor.accelerometer,1523730345968,752337077791657,1.340753,4.31914,8.063671
android.sensor.accelerometer,1523730345988,752337097783844,1.3311762,4.223372,7.7189064
android.sensor.accelerometer,1523730346008,752337117774469,1.292869,4.213795,7.5848308
android.sensor.accelerometer,1523730346028,752337137796344,1.388637,4.060566,7.5561004
android.sensor.accelerometer,1523730346048,752337157786969,1.6089035,3.8402996,7.2783732
android.sensor.accelerometer,1523730346068,752337177777594,1.8100165,3.6583402,7.153875
android.sensor.accelerometer,1523730346089,752337197801032,1.8004397,3.514688,7.3645644
android.sensor.accelerometer,1523730346109,752337217791657,1.8195933,3.1316159,7.9870567
android.sensor.accelerometer,1523730346129,752337237782282,1.8004397,2.4899697,8.312668
android.sensor.accelerometer,1523730346149,752337257772907,1.7525556,1.8291701,8.274361
android.sensor.accelerometer,1523730346169,752337277796344,2.4420857,1.1683705,7.690176
android.sensor.accelerometer,1523730346189,752337297785407,3.41892,0.5746084,7.4507556
android.sensor.accelerometer,1523730346209,752337317777594,3.6008794,0.25857377,8.734048
android.sensor.accelerometer,1523730346229,752337337799469,4.55856,0.33518824,9.481039
android.sensor.accelerometer,1523730346249,752337357791657,7.422025,0.6799533,8.619126
android.sensor.accelerometer,1523730346269,752337377780719,10.486604,1.532289,7.4507556
android.sensor.accelerometer,1523730346289,752337397804157,12.440272,2.7006595,8.169016
android.sensor.accelerometer,1523730346309,752337417794782,12.50731,3.4955344,9.902418
android.sensor.accelerometer,1523730346328,752337437785407,13.838486,4.232949,11.492168
android.sensor.accelerometer,1523730346348,752337457776032,16.40507,5.085284,11.990162
android.sensor.accelerometer,1523730346368,752337477797907,18.483236,7.038953,12.794614
android.sensor.accelerometer,1523730346388,752337497788532,19.79526,9.174581,13.9151
android.sensor.accelerometer,1523730346408,752337517780719,21.317972,11.176133,14.54717
android.sensor.accelerometer,1523730346428,752337537801032,21.815966,13.330915,15.150508
android.sensor.accelerometer,1523730346448,752337557793219,22.907722,14.384364,16.634912
android.sensor.accelerometer,1523730346468,752337577783844,23.501484,14.757859,14.853627
android.sensor.accelerometer,1523730346488,752337597776032,22.888569,14.480132,15.705963
android.sensor.accelerometer,1523730346508,752337617797907,22.07454,12.334928,18.875887
android.sensor.accelerometer,1523730346528,752337637788532,20.733788,8.101978,19.249382
android.sensor.accelerometer,1523730346548,752337657779157,18.061857,3.083732,19.967642
android.sensor.accelerometer,1523730346568,752337677801032,15.399506,-2.2888567,20.66675
android.sensor.accelerometer,1523730346588,752337697791657,12.564771,-7.1251445,20.657173
