Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523730370315,752361417790094,0.047438048,0.052621678,0.12189379
android.sensor.gyroscope,1523730370330,752361437780719,0.060528018,0.06462954,0.14671238
android.sensor.gyroscope,1523730370350,752361457804157,0.06843436,0.07089528,0.15980235
android.sensor.gyroscope,1523730370370,752361477794782,0.06571165,0.061889376,0.13906783
android.sensor.gyroscope,1523730370390,752361497785407,0.063268185,0.06544985,0.13852678
android.sensor.gyroscope,1523730370410,752361517776032,0.053441983,0.055623643,0.11780973
android.sensor.gyroscope,1523730370430,752361537797907,0.056164697,0.06298893,0.12679817
android.sensor.gyroscope,1523730370450,752361557790094,0.05454154,0.059166662,0.11588986
android.sensor.gyroscope,1523730370470,752361577780719,0.06352998,0.07225663,0.13498376
android.sensor.gyroscope,1523730370490,752361597802594,0.063268185,0.07716101,0.14425147
android.sensor.gyroscope,1523730370510,752361617793219,0.060528018,0.08806931,0.1693493
android.sensor.gyroscope,1523730370530,752361637783844,0.04553564,0.08752826,0.16907005
android.sensor.gyroscope,1523730370550,752361657774469,0.021816615,0.07880162,0.15053464
android.sensor.gyroscope,1523730370570,752361677797907,0.00572468,0.07744026,0.15271631
android.sensor.gyroscope,1523730370590,752361697786969,-0.007906342,0.07689921,0.1529781
android.sensor.gyroscope,1523730370610,752361717779157,-0.010349803,0.07661995,0.16198401
android.sensor.gyroscope,1523730370630,752361737801032,-0.024260076,0.06489134,0.14617133
android.sensor.gyroscope,1523730370650,752361757793219,-0.022078415,0.067631505,0.1870644
android.sensor.gyroscope,1523730370670,752361777783844,-0.006806784,0.06735226,0.2628815
android.sensor.gyroscope,1523730370690,752361797774469,0.029164452,0.10115928,0.46277404
android.sensor.gyroscope,1523730370710,752361817796344,0.08888962,0.15707964,0.7521147
android.sensor.gyroscope,1523730370730,752361837786969,0.15898204,0.1979727,1.012291
android.sensor.gyroscope,1523730370750,752361857779157,0.25661576,0.21516418,1.2293576
android.sensor.gyroscope,1523730370770,752361877799469,0.3337942,0.20507619,1.3299932
android.sensor.gyroscope,1523730370790,752361897791657,0.38695696,0.18216002,1.3864372
android.sensor.gyroscope,1523730370810,752361917782282,0.42160174,0.13906783,1.3872575
android.sensor.gyroscope,1523730370830,752361937772907,0.44614106,0.084264494,1.369525
android.sensor.gyroscope,1523730370850,752361957796344,0.4464203,0.021537364,1.2969891
android.sensor.gyroscope,1523730370870,752361977786969,0.43605307,-0.037891097,1.2230918
android.sensor.gyroscope,1523730370890,752361997777594,0.4136954,-0.10798352,1.1153702
android.sensor.gyroscope,1523730370910,752362017799469,0.38505453,-0.19088666,0.97656405
android.sensor.gyroscope,1523730370930,752362037791657,0.350689,-0.2822372,0.8151211
android.sensor.gyroscope,1523730370950,752362057782282,0.33515558,-0.37987092,0.6773972
android.sensor.gyroscope,1523730370970,752362077804157,0.3119776,-0.47640508,0.5552241
android.sensor.gyroscope,1523730370990,752362097794782,0.2754304,-0.57077503,0.4338714
android.sensor.gyroscope,1523730371010,752362117785407,0.2268928,-0.6681295,0.30325097
android.sensor.gyroscope,1523730371031,752362137776032,0.17615607,-0.7581187,0.188705
