Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523939290801,961281910845152,8.42759,-0.59376204,4.9799395
android.sensor.accelerometer,1523939290821,961281930835777,8.485051,-0.59376204,5.0278234
android.sensor.accelerometer,1523939290841,961281950827964,8.494628,-0.61291564,4.8937483
android.sensor.accelerometer,1523939290861,961281970849839,8.599973,-0.63206923,4.6255975
android.sensor.accelerometer,1523939290881,961281990840464,8.494628,-0.61291564,4.5202527
android.sensor.accelerometer,1523939290901,961282010831089,8.456321,-0.61291564,4.8458643
android.sensor.accelerometer,1523939290921,961282030823277,8.475474,-0.61291564,5.0374002
android.sensor.accelerometer,1523939290941,961282050843589,8.283937,-0.7086837,4.807557
android.sensor.accelerometer,1523939290961,961282070835777,8.801085,-0.6512229,4.7309427
android.sensor.accelerometer,1523939290981,961282090826402,8.944737,-0.7469909,4.903325
android.sensor.accelerometer,1523939291001,961282110849839,8.734048,-0.6607997,4.9224787
android.sensor.accelerometer,1523939291021,961282130840464,8.714894,-0.7182605,4.673482
android.sensor.accelerometer,1523939291041,961282150831089,8.7532015,-0.7757214,4.5394063
android.sensor.accelerometer,1523939291062,961282170852964,8.695741,-0.7565677,4.501099
android.sensor.accelerometer,1523939291082,961282190843589,8.887277,-1.0534488,4.5681367
android.sensor.accelerometer,1523939291102,961282210834214,9.452309,-1.2449849,4.6351743
android.sensor.accelerometer,1523939291122,961282230824839,9.854534,-1.6280571,5.1140146
android.sensor.accelerometer,1523939291142,961282250848277,9.011775,-1.9536686,5.2385135
android.sensor.accelerometer,1523939291162,961282270837339,8.350976,-2.087744,3.7732618
android.sensor.accelerometer,1523939291182,961282290829527,7.7189064,-2.1068976,4.3382936
android.sensor.accelerometer,1523939291202,961282310852964,6.7612257,-2.1068976,3.466804
android.sensor.accelerometer,1523939291222,961282330842027,6.033388,-1.3311762,3.1028855
android.sensor.accelerometer,1523939291242,961282350834214,5.104438,-1.1779473,4.280833
android.sensor.accelerometer,1523939291262,961282370824839,3.9743748,-0.4309563,3.5625722
android.sensor.accelerometer,1523939291282,961282390846714,3.9552212,0.23942018,0.59376204
android.sensor.accelerometer,1523939291302,961282410837339,4.185065,1.043872,-0.29688102
android.sensor.accelerometer,1523939291322,961282430829527,9.069236,0.93852705,1.283292
android.sensor.accelerometer,1523939291342,961282450851402,60.420074,-7.680599,-10.457873
android.sensor.accelerometer,1523939291362,961282470842027,-10.7356,9.864111,15.064317
android.sensor.accelerometer,1523939291382,961282490832652,-6.397307,6.081272,14.393941
android.sensor.accelerometer,1523939291402,961282510823277,9.011775,2.8921957,12.344504
android.sensor.accelerometer,1523939291422,961282530845152,13.168109,-0.18195933,3.715801
android.sensor.accelerometer,1523939291442,961282550837339,10.247183,-0.36391866,-0.8523358
android.sensor.accelerometer,1523939291462,961282570827964,9.634268,0.02873042,0.47884035
android.sensor.accelerometer,1523939291481,961282590849839,6.3589997,-2.4516625,0.22984336
android.sensor.accelerometer,1523939291501,961282610840464,2.1068976,-3.371036,0.7565677
android.sensor.accelerometer,1523939291521,961282630832652,1.7046716,-4.6160207,2.0111294
android.sensor.accelerometer,1523939291541,961282650823277,6.14831,-5.985504,3.7349546
android.sensor.accelerometer,1523939291561,961282670845152,13.302185,-4.5872903,4.510676
android.sensor.accelerometer,1523939291581,961282690835777,11.271901,-2.2122424,4.8267107
android.sensor.accelerometer,1523939291601,961282710826402,5.7843914,0.009576807,3.3806129
android.sensor.accelerometer,1523939291621,961282730849839,4.76925,1.982399,-1.8195933
android.sensor.accelerometer,1523939291641,961282750840464,6.895301,2.327164,-0.6991069
android.sensor.accelerometer,1523939291661,961282770831089,9.308656,2.3654714,1.1587936
android.sensor.accelerometer,1523939291681,961282790852964,11.597513,1.5897499,1.6663644
android.sensor.accelerometer,1523939291701,961282810843589,32.762257,3.1794999,9.299079
android.sensor.accelerometer,1523939291721,961282830834214,4.644751,1.6472107,9.490616
android.sensor.accelerometer,1523939291741,961282850826402,9.078813,1.5227122,15.361198
android.sensor.accelerometer,1523939291761,961282870848277,14.824897,0.038307227,5.93762
android.sensor.accelerometer,1523939291781,961282890838902,15.2367,-1.2545617,-2.7389667
android.sensor.accelerometer,1523939291801,961282910829527,10.247183,-0.47884035,1.8291701
android.sensor.accelerometer,1523939291821,961282930851402,5.9184666,-1.733402,5.803545
android.sensor.accelerometer,1523939291841,961282950843589,3.8977604,-2.4708161,2.384625
android.sensor.accelerometer,1523939291861,961282970834214,1.1109096,-2.5953147,-0.38307226
android.sensor.accelerometer,1523939291881,961282990824839,1.2258313,-3.064578,-0.6703765
android.sensor.accelerometer,1523939291901,961283010848277,2.384625,-3.074155,0.89064306
android.sensor.accelerometer,1523939291921,961283030837339,7.086837,-1.733402,-1.388637
android.sensor.accelerometer,1523939291941,961283050829527,5.6407394,-0.6895301,1.685518
android.sensor.accelerometer,1523939291961,961283070851402,2.0685902,1.043872,2.5474305
