Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523939325943,961317050823277,-0.06571165,0.0021816615,-0.019076448
android.sensor.gyroscope,1523939325961,961317070845152,-0.09162979,0.0016231562,-0.028902652
android.sensor.gyroscope,1523939325981,961317090835777,-0.11180579,5.410521E-4,-0.037350047
android.sensor.gyroscope,1523939326001,961317110827964,-0.12843879,0.0,-0.043074727
android.sensor.gyroscope,1523939326021,961317130849839,-0.1693493,-0.0013613568,-0.059445914
android.sensor.gyroscope,1523939326041,961317150840464,-0.17697638,-0.0019024089,-0.06244788
android.sensor.gyroscope,1523939326061,961317170832652,-0.19607028,-5.410521E-4,-0.07035422
android.sensor.gyroscope,1523939326081,961317190823277,-0.14725342,0.0010821042,-0.052080624
android.sensor.gyroscope,1523939326101,961317210845152,-0.13308136,0.0013613568,-0.046617743
android.sensor.gyroscope,1523939326121,961317230835777,-0.19088666,0.0,-0.060528018
android.sensor.gyroscope,1523939326141,961317250826402,-0.16716763,2.6179937E-4,-0.053162728
android.sensor.gyroscope,1523939326161,961317270848277,-0.15407766,2.6179937E-4,-0.04907866
android.sensor.gyroscope,1523939326181,961317290840464,-0.13470452,8.0285146E-4,-0.04171337
android.sensor.gyroscope,1523939326201,961317310831089,-0.124354705,8.0285146E-4,-0.038449604
android.sensor.gyroscope,1523939326221,961317330852964,-0.1126261,0.0010821042,-0.034627333
android.sensor.gyroscope,1523939326241,961317350845152,-0.12925908,5.410521E-4,-0.040631264
android.sensor.gyroscope,1523939326261,961317370834214,-0.14453071,-5.410521E-4,-0.047717303
android.sensor.gyroscope,1523939326281,961317390824839,-0.09761626,0.0010821042,-0.036529742
android.sensor.gyroscope,1523939326301,961317410848277,-0.08208284,0.0010821042,-0.03080506
android.sensor.gyroscope,1523939326321,961317430838902,-0.07253588,-0.008988446,-0.02698279
android.sensor.gyroscope,1523939326341,961317450829527,-0.09979793,-0.006265732,-0.028902652
android.sensor.gyroscope,1523939326361,961317470851402,-0.11398745,-0.008988446,-0.027803095
android.sensor.gyroscope,1523939326381,961317490843589,-0.10798352,-0.016353736,-0.020176006
android.sensor.gyroscope,1523939326401,961317510834214,-0.053441983,-0.016894788,-0.0032637657
android.sensor.gyroscope,1523939326421,961317530824839,-0.047996555,-0.024260076,0.016074482
android.sensor.gyroscope,1523939326441,961317550846714,-0.1437104,-0.02617994,0.010088003
android.sensor.gyroscope,1523939326461,961317570837339,-0.17997836,-0.0283616,0.022078415
android.sensor.gyroscope,1523939326481,961317590829527,-0.17153096,-0.04117232,0.03244567
android.sensor.gyroscope,1523939326501,961317610851402,-0.051539574,-0.05808456,0.069533914
android.sensor.gyroscope,1523939326521,961317630842027,0.046617743,-0.0752586,0.102538094
android.sensor.gyroscope,1523939326541,961317650832652,0.13798574,-0.07225663,0.11889183
android.sensor.gyroscope,1523939326561,961317670823277,3.2277596,-0.5710368,1.0068281
android.sensor.gyroscope,1523939326581,961317690846714,1.2301779,-0.18624409,0.354232
android.sensor.gyroscope,1523939326601,961317710837339,0.14343116,0.10770427,-0.002443461
android.sensor.gyroscope,1523939326621,961317730827964,-0.30433306,0.26806512,-0.16742943
android.sensor.gyroscope,1523939326641,961317750849839,-0.31388003,0.24052383,-0.16634732
android.sensor.gyroscope,1523939326661,961317770840464,0.017994344,0.10662217,-0.046896998
android.sensor.gyroscope,1523939326681,961317790831089,0.011170107,0.07579965,-0.042533673
android.sensor.gyroscope,1523939326701,961317810821714,-0.1319818,0.047996555,-0.08044223
android.sensor.gyroscope,1523939326721,961317830845152,-0.5306848,0.007906342,-0.16742943
android.sensor.gyroscope,1523939326741,961317850835777,-1.0818249,0.03080506,-0.31578243
android.sensor.gyroscope,1523939326761,961317870826402,-1.1709938,0.025359634,-0.34388223
android.sensor.gyroscope,1523939326781,961317890849839,-1.0946356,-0.029164452,-0.29588565
android.sensor.gyroscope,1523939326801,961317910840464,-1.0649127,-0.049619712,-0.26996753
android.sensor.gyroscope,1523939326821,961317930831089,-0.921464,-0.044174284,-0.22879522
android.sensor.gyroscope,1523939326841,961317950852964,-0.7453079,-0.046355944,-0.19088666
android.sensor.gyroscope,1523939326861,961317970843589,-0.580863,-0.06462954,-0.15433946
android.sensor.gyroscope,1523939326881,961317990835777,2.8642423,-0.6233967,0.7782947
android.sensor.gyroscope,1523939326901,961318010826402,1.0540043,-0.16224581,0.16498597
android.sensor.gyroscope,1523939326921,961318030848277,0.40851176,0.1237962,-0.07417649
android.sensor.gyroscope,1523939326941,961318050838902,0.3463257,0.101717785,-0.07497934
android.sensor.gyroscope,1523939326961,961318070829527,0.4805066,-0.13252285,0.07798131
android.sensor.gyroscope,1523939326981,961318090852964,0.43823472,-0.225514,0.1311615
android.sensor.gyroscope,1523939327001,961318110843589,0.40605086,-0.20669934,0.12161454
android.sensor.gyroscope,1523939327021,961318130834214,0.08752826,-0.19116591,0.046076693
android.sensor.gyroscope,1523939327041,961318150824839,-1.8274121,0.3681423,-0.5244016
android.sensor.gyroscope,1523939327062,961318170846714,-2.599441,-0.04935791,-0.5538628
android.sensor.gyroscope,1523939327082,961318190837339,-3.24249,-0.41095522,-0.62557834
android.sensor.gyroscope,1523939327102,961318210827964,-4.0952406,-0.57922244,-0.79574794
android.sensor.gyroscope,1523939327122,961318230851402,-2.6327069,-0.5219582,-0.4483227
android.sensor.gyroscope,1523939327142,961318250842027,-1.7196903,-0.4292288,-0.24815091
android.sensor.gyroscope,1523939327162,961318270832652,-1.3182646,-0.3836932,-0.17261307
android.sensor.gyroscope,1523939327182,961318290824839,3.564835,-0.5508608,0.7815759
android.sensor.gyroscope,1523939327202,961318310845152,2.0373926,-0.2077989,0.41095522
android.sensor.gyroscope,1523939327222,961318330835777,2.0802057,-0.025900686,0.38015017
android.sensor.gyroscope,1523939327242,961318350827964,1.7003173,0.15351915,0.25661576
android.sensor.gyroscope,1523939327262,961318370849839,1.4104354,0.20015436,0.1704314
android.sensor.gyroscope,1523939327282,961318390840464,1.253635,0.17289232,0.13552481
android.sensor.gyroscope,1523939327302,961318410832652,1.1287218,0.13824753,0.12079424
android.sensor.gyroscope,1523939327322,961318430823277,1.0234611,0.12625712,0.11753047
android.sensor.gyroscope,1523939327342,961318450845152,0.8492074,0.12217305,0.09053023
android.sensor.gyroscope,1523939327362,961318470835777,-1.2937253,0.78948224,-0.51867694
android.sensor.gyroscope,1523939327382,961318490826402,-2.2441094,0.2756922,-0.5740388
android.sensor.gyroscope,1523939327402,961318510849839,-3.2435722,-0.06817256,-0.7447494
android.sensor.gyroscope,1523939327422,961318530840464,-3.048043,-0.07307693,-0.71420616
android.sensor.gyroscope,1523939327442,961318550831089,-2.3428252,0.03190462,-0.56885517
android.sensor.gyroscope,1523939327462,961318570852964,-1.2053593,0.30351275,-0.37742746
android.sensor.gyroscope,1523939327481,961318590845152,-0.6422114,0.32178634,-0.27160814
