Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523939857552,961848661843589,4.6255975,8.274361,1.0726024
android.sensor.accelerometer,1523939857572,961848681835777,4.7022123,8.341399,0.7182605
android.sensor.accelerometer,1523939857592,961848701826402,4.8937483,8.37013,0.40222588
android.sensor.accelerometer,1523939857612,961848721849839,4.903325,8.437167,0.4213795
android.sensor.accelerometer,1523939857632,961848741840464,5.0374002,8.590396,0.7086837
android.sensor.accelerometer,1523939857652,961848761831089,5.267244,8.829816,0.91937345
android.sensor.accelerometer,1523939857672,961848781852964,5.506664,8.973468,1.3599066
android.sensor.accelerometer,1523939857692,961848801843589,5.5641246,8.973468,1.3694834
android.sensor.accelerometer,1523939857712,961848821834214,5.707777,8.992621,1.2258313
android.sensor.accelerometer,1523939857732,961848841826402,5.7269306,9.3182335,1.1587936
android.sensor.accelerometer,1523939857752,961848861848277,6.042965,9.605537,1.4556746
android.sensor.accelerometer,1523939857772,961848881838902,6.3685765,9.672575,2.1068976
android.sensor.accelerometer,1523939857792,961848901829527,6.38773,9.615114,2.0494366
android.sensor.accelerometer,1523939857812,961848921851402,6.6750345,9.701305,1.8195933
android.sensor.accelerometer,1523939857832,961848941843589,6.7708025,9.557653,1.7429788
android.sensor.accelerometer,1523939857852,961848961834214,6.1100025,9.289502,1.6663644
android.sensor.accelerometer,1523939857872,961848981824839,5.45878,8.7532015,1.1109096
android.sensor.accelerometer,1523939857892,961849001846714,4.55856,8.111555,0.46926352
android.sensor.accelerometer,1523939857912,961849021837339,3.4093432,7.2592196,0.1436521
android.sensor.accelerometer,1523939857932,961849041829527,1.934515,6.3302693,-0.58418524
android.sensor.accelerometer,1523939857952,961849061851402,0.38307226,5.48751,-1.7717092
android.sensor.accelerometer,1523939857972,961849081842027,-1.1300632,4.673482,-2.3558946
android.sensor.accelerometer,1523939857992,961849101832652,-3.3039982,3.7732618,-2.6048915
android.sensor.accelerometer,1523939858012,961849121823277,-5.0278234,2.9975405,-2.528277
android.sensor.accelerometer,1523939858032,961849141845152,-6.4739213,1.9632454,-3.2848446
android.sensor.accelerometer,1523939858052,961849161835777,-7.5848308,1.2545617,-3.5625722
android.sensor.accelerometer,1523939858072,961849181827964,-7.651869,0.9672575,-3.3901896
android.sensor.accelerometer,1523939858092,961849201849839,-6.5601125,1.1013328,-3.1890767
android.sensor.accelerometer,1523939858112,961849221842027,-5.7748146,2.1547816,-3.3614593
android.sensor.accelerometer,1523939858132,961849241832652,-4.865018,3.821146,-4.5298295
android.sensor.accelerometer,1523939858152,961849261854527,0.4213795,4.759673,-4.2521024
android.sensor.accelerometer,1523939858172,961849281845152,11.712435,6.1100025,-0.80445176
android.sensor.accelerometer,1523939858192,961849301835777,28.299463,8.073248,6.6175733
android.sensor.accelerometer,1523939858212,961849321827964,39.32237,10.457873,9.969456
android.sensor.accelerometer,1523939858232,961849341848277,35.434185,12.823344,8.0445175
android.sensor.accelerometer,1523939858252,961849361840464,24.286781,12.966996,6.6846113
android.sensor.accelerometer,1523939858272,961849381831089,15.773001,12.191275,4.453215
android.sensor.accelerometer,1523939858292,961849401852964,11.731588,10.381259,1.6376339
android.sensor.accelerometer,1523939858312,961849421843589,8.6095495,8.628703,-0.37349546
android.sensor.accelerometer,1523939858332,961849441834214,5.755661,6.799533,-1.3311762
android.sensor.accelerometer,1523939858352,961849461826402,2.834735,5.535394,-1.436521
android.sensor.accelerometer,1523939858372,961849481848277,0.019153614,4.76925,-1.5514427
android.sensor.accelerometer,1523939858392,961849501838902,-2.1547816,4.309563,-1.388637
android.sensor.accelerometer,1523939858412,961849521829527,-3.3901896,3.715801,-1.1109096
android.sensor.accelerometer,1523939858432,961849541851402,-3.9839516,3.2369606,-0.18195933
android.sensor.accelerometer,1523939858452,961849561843589,-4.501099,2.528277,0.7661445
android.sensor.accelerometer,1523939858472,961849581832652,-4.7022123,2.327164,1.7046716
android.sensor.accelerometer,1523939858492,961849601824839,-3.86903,1.9632454,1.1013328
android.sensor.accelerometer,1523939858512,961849621846714,-2.825158,1.6663644,2.3942018
android.sensor.accelerometer,1523939858532,961849641837339,-2.1260512,1.283292,8.848969
android.sensor.accelerometer,1523939858552,961849661829527,1.3790601,0.33518824,20.283676
android.sensor.accelerometer,1523939858572,961849681851402,9.174581,-1.5897499,22.821531
android.sensor.accelerometer,1523939858592,961849701842027,19.297266,-2.0685902,17.937359
android.sensor.accelerometer,1523939858612,961849721832652,29.860483,0.095768064,12.200851
android.sensor.accelerometer,1523939858632,961849741823277,38.98718,3.4476504,6.981492
android.sensor.accelerometer,1523939858652,961849761846714,41.850647,4.5872903,1.0726024
android.sensor.accelerometer,1523939858672,961849781837339,34.45735,4.0414124,-5.650316
android.sensor.accelerometer,1523939858692,961849801827964,24.037785,3.3423057,-12.018892
android.sensor.accelerometer,1523939858712,961849821849839,18.416199,2.1260512,-14.326903
android.sensor.accelerometer,1523939858732,961849841840464,11.492168,0.94810385,-13.9438305
android.sensor.accelerometer,1523939858752,961849861831089,4.414908,0.8619126,-13.474567
android.sensor.accelerometer,1523939858772,961849881823277,0.9959879,0.63206923,-10.7356
android.sensor.accelerometer,1523939858792,961849901845152,-1.283292,0.02873042,-8.389283
android.sensor.accelerometer,1523939858812,961849921835777,-3.1890767,0.047884032,-7.067683
android.sensor.accelerometer,1523939858832,961849941826402,-4.2521024,-0.20111294,-4.9799395
android.sensor.accelerometer,1523939858852,961849961848277,-4.1180267,-0.38307226,-3.6966474
android.sensor.accelerometer,1523939858872,961849981840464,-2.4229321,-0.6512229,-3.9743748
android.sensor.accelerometer,1523939858892,961850001831089,-1.4269443,-0.60333884,-6.4260373
android.sensor.accelerometer,1523939858912,961850021852964,-0.8331822,-0.61291564,-7.967903
android.sensor.accelerometer,1523939858932,961850041843589,0.8523358,-0.545878,-7.201759
android.sensor.accelerometer,1523939858952,961850061834214,2.719813,-0.36391866,-7.07726
android.sensor.accelerometer,1523939858972,961850081826402,4.9224787,0.35434186,-7.6231384
