Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523939816154,961807261829527,-0.012810716,-0.05235988,0.06899287
android.sensor.gyroscope,1523939816174,961807281851402,-0.02480113,-0.043895032,0.059445914
android.sensor.gyroscope,1523939816194,961807301842027,-0.062168628,-0.061627574,0.06817256
android.sensor.gyroscope,1523939816214,961807321832652,-0.10471976,-0.08562585,0.06981317
android.sensor.gyroscope,1523939816234,961807341824839,-0.15433946,-0.11016518,0.0760789
android.sensor.gyroscope,1523939816254,961807361846714,-0.23015657,-0.17261307,0.08152433
android.sensor.gyroscope,1523939816274,961807381837339,-0.33733723,-0.25333455,0.07744026
android.sensor.gyroscope,1523939816294,961807401827964,-0.41423646,-0.30705577,0.07579965
android.sensor.gyroscope,1523939816314,961807421849839,-0.5661324,-0.44259804,0.09871582
android.sensor.gyroscope,1523939816334,961807441842027,-0.6834011,-0.5557652,0.11671016
android.sensor.gyroscope,1523939816354,961807461832652,-0.72075117,-0.59749603,0.11780973
android.sensor.gyroscope,1523939816374,961807481823277,-0.76466364,-0.6542192,0.11861257
android.sensor.gyroscope,1523939816394,961807501845152,-0.80529493,-0.6986728,0.09979793
android.sensor.gyroscope,1523939816415,961807521835777,-0.82684976,-0.7223918,0.06544985
android.sensor.gyroscope,1523939816434,961807541827964,-0.8096582,-0.725673,0.02617994
android.sensor.gyroscope,1523939816454,961807561849839,-0.77311105,-0.7210304,-0.014451326
android.sensor.gyroscope,1523939816474,961807581840464,-0.63022095,-0.6847625,-0.056985
android.sensor.gyroscope,1523939816494,961807601831089,-0.46359435,-0.6310412,-0.12161454
android.sensor.gyroscope,1523939816515,961807621852964,-0.28824112,-0.5704958,-0.20289452
android.sensor.gyroscope,1523939816534,961807641845152,-0.07225663,-0.455688,-0.30897564
android.sensor.gyroscope,1523939816554,961807661835777,0.14453071,-0.32805207,-0.4346917
android.sensor.gyroscope,1523939816574,961807681826402,0.42242205,-0.110444434,-0.59639645
android.sensor.gyroscope,1523939816594,961807701848277,0.7166671,0.16634732,-0.81019926
android.sensor.gyroscope,1523939816614,961807721840464,0.9836501,0.44123667,-1.0515609
android.sensor.gyroscope,1523939816634,961807741831089,1.2189903,0.6937684,-1.2967098
android.sensor.gyroscope,1523939816654,961807761852964,1.4208027,0.8783893,-1.5064286
android.sensor.gyroscope,1523939816674,961807781843589,1.6332442,1.030006,-1.6711527
android.sensor.gyroscope,1523939816694,961807801834214,1.8418634,1.1720933,-1.8050369
android.sensor.gyroscope,1523939816714,961807821826402,2.0076697,1.2541761,-1.8740473
android.sensor.gyroscope,1523939816734,961807841848277,1.9773883,1.1322824,-1.7554172
android.sensor.gyroscope,1523939816754,961807861837339,1.8478674,0.88001245,-1.4807897
android.sensor.gyroscope,1523939816774,961807881829527,1.7355031,0.29424506,-0.56040776
android.sensor.gyroscope,1523939816794,961807901851402,0.6754948,-1.4213438,0.51377255
android.sensor.gyroscope,1523939816815,961807921842027,-0.7109424,-3.3660245,1.3916209
android.sensor.gyroscope,1523939816834,961807941832652,-1.4772466,-4.2460546,1.7665874
android.sensor.gyroscope,1523939816854,961807961824839,-1.7273175,-4.3545966,1.8227695
android.sensor.gyroscope,1523939816874,961807981846714,-1.6956921,-4.033072,1.7030574
android.sensor.gyroscope,1523939816894,961808001837339,-1.7063211,-3.7448134,1.6174141
android.sensor.gyroscope,1523939816914,961808021827964,-1.70578,-3.466381,1.5495207
android.sensor.gyroscope,1523939816934,961808041851402,-1.5871501,-3.1121316,1.4360744
android.sensor.gyroscope,1523939816954,961808061842027,-1.4090741,-2.7330635,1.2972683
android.sensor.gyroscope,1523939816974,961808081832652,-1.2315392,-2.3790932,1.1625464
android.sensor.gyroscope,1523939816994,961808101823277,-1.0821041,-2.062473,1.0474594
android.sensor.gyroscope,1523939817015,961808121846714,-0.9809274,-1.715327,0.93837625
android.sensor.gyroscope,1523939817034,961808141835777,-0.934554,-1.3425248,0.8407425
android.sensor.gyroscope,1523939817054,961808161827964,-0.99701935,-1.0739186,0.8107578
android.sensor.gyroscope,1523939817074,961808181849839,-1.0237403,-0.89366096,0.80883795
android.sensor.gyroscope,1523939817094,961808201840464,-1.0291858,-0.7698473,0.8061152
android.sensor.gyroscope,1523939817114,961808221832652,-1.0256428,-0.6184923,0.7769333
android.sensor.gyroscope,1523939817134,961808241854527,-1.009289,-0.39514256,0.716126
android.sensor.gyroscope,1523939817154,961808261845152,-1.0417347,-0.105260804,0.6482153
android.sensor.gyroscope,1523939817174,961808281835777,-1.092454,0.15898204,0.6051231
android.sensor.gyroscope,1523939817194,961808301826402,-1.1824605,0.3861541,0.593953
android.sensor.gyroscope,1523939817214,961808321848277,-1.2653637,0.50150293,0.62421703
android.sensor.gyroscope,1523939817234,961808341840464,-1.2462698,0.5263215,0.6389476
android.sensor.gyroscope,1523939817254,961808361831089,-1.0733775,0.5241398,0.5863085
android.sensor.gyroscope,1523939817274,961808381852964,-0.8849343,0.46549675,0.54403657
android.sensor.gyroscope,1523939817294,961808401843589,-0.7147647,0.12843879,0.5893104
android.sensor.gyroscope,1523939817314,961808421835777,-0.6201329,-0.1693493,0.64303166
android.sensor.gyroscope,1523939817334,961808441824839,-0.5789432,-0.56423,0.72130966
android.sensor.gyroscope,1523939817354,961808461846714,-0.55930823,-0.9762848,0.7823962
android.sensor.gyroscope,1523939817374,961808481837339,-0.64303166,-1.3354387,0.8505688
android.sensor.gyroscope,1523939817394,961808501831089,-0.80285144,-1.5885115,0.92310464
android.sensor.gyroscope,1523939817415,961808521852964,-0.8371995,-1.6280606,0.92310464
android.sensor.gyroscope,1523939817434,961808541843589,-0.82520914,-1.6258789,0.88901836
android.sensor.gyroscope,1523939817454,961808561834214,-0.91329587,-1.6820611,0.8931024
android.sensor.gyroscope,1523939817474,961808581824839,-1.0605493,-1.758681,0.924466
android.sensor.gyroscope,1523939817494,961808601846714,-1.2138066,-1.8366798,0.95582956
android.sensor.gyroscope,1523939817514,961808621837339,-1.4480648,-1.9468449,1.0087305
android.sensor.gyroscope,1523939817534,961808641829527,-1.7938669,-2.108026,1.1009188
android.sensor.gyroscope,1523939817554,961808661851402,-2.2449298,-2.3270125,1.2285372
android.sensor.gyroscope,1523939817574,961808681842027,-2.8097007,-2.5800853,1.4300704
android.sensor.gyroscope,1523939817594,961808701832652,-3.4650197,-2.867506,1.7199521
android.sensor.gyroscope,1523939817614,961808721824839,-4.006613,-3.087313,2.011492
android.sensor.gyroscope,1523939817634,961808741845152,-4.4189467,-3.2544806,2.275735
android.sensor.gyroscope,1523939817654,961808761837339,-4.865908,-3.49202,2.6046247
android.sensor.gyroscope,1523939817676,961808781827964,-5.048906,-3.6199176,2.8506114
android.sensor.gyroscope,1523939817694,961808801849839,-5.1075315,-3.7093656,3.028408
android.sensor.gyroscope,1523939817714,961808821840464,-4.9264536,-3.6035464,2.978771
android.sensor.gyroscope,1523939817734,961808841832652,-4.5468445,-3.3052173,2.7344248
android.sensor.gyroscope,1523939817754,961808861823277,-4.2070465,-2.9954214,2.4524493
android.sensor.gyroscope,1523939817774,961808881845152,-4.088975,-2.642795,1.9793081
android.sensor.gyroscope,1523939817794,961808901835777,-3.7401707,-2.124118,1.4303497
android.sensor.gyroscope,1523939817814,961808921826402,-2.7385263,-1.158183,0.4742234
android.sensor.gyroscope,1523939817834,961808941848277,1.2072617,1.2121835,-1.5718784
android.sensor.gyroscope,1523939817854,961808961840464,4.7712936,3.2599435,-2.7434306
android.sensor.gyroscope,1523939817874,961808981831089,5.636855,3.994343,-2.7619836
android.sensor.gyroscope,1523939817894,961809001852964,5.4448686,4.1571474,-2.4638987
android.sensor.gyroscope,1523939817915,961809021843589,5.079711,4.1754208,-2.171556
android.sensor.gyroscope,1523939817934,961809041834214,4.634652,4.078328,-1.9326729
android.sensor.gyroscope,1523939817954,961809061826402,4.085973,3.773716,-1.7115048
android.sensor.gyroscope,1523939817974,961809081848277,3.5811887,3.4652815,-1.5129735
android.sensor.gyroscope,1523939817994,961809101838902,3.1669524,3.196134,-1.359437
android.sensor.gyroscope,1523939818014,961809121831089,2.8304179,2.9670596,-1.2375431
android.sensor.gyroscope,1523939818034,961809141852964,2.5601711,2.7947085,-1.1418118
android.sensor.gyroscope,1523939818054,961809161843589,2.3218288,2.6738968,-1.0586469
android.sensor.gyroscope,1523939818074,961809181834214,2.1301045,2.5926168,-1.0106504
android.sensor.gyroscope,1523939818094,961809201824839,1.9375772,2.5596302,-0.9700191
android.sensor.gyroscope,1523939818115,961809221846714,1.6902292,2.6452558,-0.92010266
android.sensor.gyroscope,1523939818135,961809241837339,1.3278116,2.616615,-0.79302526
android.sensor.gyroscope,1523939818155,961809261829527,0.9443802,2.533991,-0.64194953
android.sensor.gyroscope,1523939818175,961809281851402,0.66104347,2.3441865,-0.50750685
android.sensor.gyroscope,1523939818195,961809301842027,0.49277624,2.0823872,-0.40496874
android.sensor.gyroscope,1523939818216,961809321834214,0.40769145,1.8235898,-0.34005994
android.sensor.gyroscope,1523939818235,961809341824839,0.38833576,1.5934157,-0.31005773
android.sensor.gyroscope,1523939818254,961809361846714,0.48295006,1.2056385,-0.28934067
android.sensor.gyroscope,1523939818274,961809381837339,0.5767615,0.8115781,-0.2628815
android.sensor.gyroscope,1523939818294,961809401827964,0.607584,0.39978513,-0.21052161
android.sensor.gyroscope,1523939818314,961809421849839,0.5644918,0.008988446,-0.13906783
android.sensor.gyroscope,1523939818334,961809441842027,0.46549675,-0.33161256,-0.058904864
android.sensor.gyroscope,1523939818354,961809461832652,0.31688198,-0.65039694,0.029722957
