Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523730213332,752204437791657,2.1260512,6.6846113,7.029376
android.sensor.accelerometer,1523730213348,752204457782282,2.183512,6.579266,7.067683
android.sensor.accelerometer,1523730213368,752204477804157,2.1068976,6.6271505,6.7612257
android.sensor.accelerometer,1523730213388,752204497794782,2.2218192,6.6175733,6.6750345
android.sensor.accelerometer,1523730213408,752204517785407,2.183512,6.588843,6.7133417
android.sensor.accelerometer,1523730213428,752204537777594,2.231396,6.5984197,6.6654577
android.sensor.accelerometer,1523730213448,752204557799469,2.3942018,6.5984197,6.588843
android.sensor.accelerometer,1523730213468,752204577790094,2.3750482,6.7133417,6.205771
android.sensor.accelerometer,1523730213488,752204597780719,2.3175871,6.655881,6.7324953
android.sensor.accelerometer,1523730213508,752204617804157,2.1930888,6.646304,7.086837
android.sensor.accelerometer,1523730213528,752204637793219,2.0494366,6.6367273,6.9719152
android.sensor.accelerometer,1523730213548,752204657785407,2.231396,6.6750345,6.6175733
android.sensor.accelerometer,1523730213568,752204677776032,2.27928,6.742072,6.493075
android.sensor.accelerometer,1523730213588,752204697797907,2.231396,6.7229185,6.83784
android.sensor.accelerometer,1523730213608,752204717788532,2.1739352,6.6654577,7.3549876
android.sensor.accelerometer,1523730213628,752204737780719,1.9440918,6.9527617,8.159439
android.sensor.accelerometer,1523730213648,752204757802594,2.5953147,7.2687964,9.32781
android.sensor.accelerometer,1523730213668,752204777793219,4.7022123,7.6710224,9.682152
android.sensor.accelerometer,1523730213688,752204797783844,7.5082164,7.7667904,9.691729
android.sensor.accelerometer,1523730213708,752204817774469,9.662998,7.6710224,8.504205
android.sensor.accelerometer,1523730213728,752204837797907,9.80665,7.52737,7.038953
android.sensor.accelerometer,1523730213748,752204857786969,10.333375,7.1730285,7.0006456
android.sensor.accelerometer,1523730213768,752204877779157,11.204864,6.9623384,5.841852
android.sensor.accelerometer,1523730213788,752204897801032,11.473015,6.5505357,4.55856
android.sensor.accelerometer,1523730213808,752204917791657,11.33894,6.129156,3.2082303
android.sensor.accelerometer,1523730213828,752204937783844,11.195287,6.0621185,1.13964
android.sensor.accelerometer,1523730213848,752204957774469,11.128249,6.0046577,0.63206923
android.sensor.accelerometer,1523730213868,752204977796344,11.683704,5.7843914,1.3311762
android.sensor.accelerometer,1523730213888,752204997786969,11.003751,5.707777,3.2465374
android.sensor.accelerometer,1523730213908,752205017777594,11.463438,5.650316,2.9496565
android.sensor.accelerometer,1523730213928,752205037799469,10.927136,5.535394,1.7429788
android.sensor.accelerometer,1523730213948,752205057791657,9.509769,5.48751,0.7757214
android.sensor.accelerometer,1523730213968,752205077782282,10.275913,4.951209,2.1452048
android.sensor.accelerometer,1523730213988,752205097772907,11.061212,4.510676,2.078167
android.sensor.accelerometer,1523730214008,752205117794782,9.950302,4.185065,0.16280572
android.sensor.accelerometer,1523730214028,752205137786969,9.749189,3.1507695,-0.1436521
android.sensor.accelerometer,1523730214048,752205157777594,9.576807,2.135628,0.6895301
