Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523730270761,752261857794782,0.09325294,0.0283616,0.037088245
android.sensor.gyroscope,1523730270771,752261877785407,0.11234684,0.028082348,0.04225442
android.sensor.gyroscope,1523730270790,752261897776032,0.103340946,0.01881465,0.035709437
android.sensor.gyroscope,1523730270810,752261917799469,0.10143854,0.0095294975,0.021816615
android.sensor.gyroscope,1523730270830,752261937790094,0.114807755,0.009808751,0.02480113
android.sensor.gyroscope,1523730270850,752261957780719,0.09243264,0.008726646,0.02453933
android.sensor.gyroscope,1523730270870,752261977802594,0.10007718,0.010088003,0.027262043
android.sensor.gyroscope,1523730270890,752261997793219,0.09325294,0.00816814,0.020717058
android.sensor.gyroscope,1523730270910,752262017783844,0.09843657,0.009267698,0.032986723
android.sensor.gyroscope,1523730270930,752262037776032,0.09189159,0.006544985,0.02698279
android.sensor.gyroscope,1523730270950,752262057796344,0.09299114,0.0038048178,0.023439772
android.sensor.gyroscope,1523730270970,752262077788532,0.10826277,0.0046251225,0.023719024
android.sensor.gyroscope,1523730270990,752262097779157,0.084264494,0.008447394,0.022619467
android.sensor.gyroscope,1523730271010,752262117801032,0.09080948,0.013631022,0.027803095
android.sensor.gyroscope,1523730271030,752262137793219,0.08916887,0.016353736,0.031084314
android.sensor.gyroscope,1523730271050,752262157783844,0.10143854,0.021537364,0.039531708
android.sensor.gyroscope,1523730271070,752262177774469,0.089448124,0.026441738,0.046355944
android.sensor.gyroscope,1523730271090,752262197796344,0.06981317,0.02125811,0.027262043
android.sensor.gyroscope,1523730271110,752262217786969,0.07307693,0.022078415,0.015812684
android.sensor.gyroscope,1523730271130,752262237779157,0.037891097,0.01144936,-2.6179937E-4
android.sensor.gyroscope,1523730271150,752262257801032,0.053721234,0.016353736,-5.410521E-4
android.sensor.gyroscope,1523730271170,752262277791657,0.06244788,0.017453292,-0.022078415
android.sensor.gyroscope,1523730271190,752262297782282,0.05290093,0.018535396,-0.0019024089
android.sensor.gyroscope,1523730271210,752262317772907,0.05644395,0.0283616,0.06080727
android.sensor.gyroscope,1523730271230,752262337796344,0.06435029,0.032166418,0.09325294
android.sensor.gyroscope,1523730271250,752262357786969,0.12217305,0.061627574,0.26260224
android.sensor.gyroscope,1523730271270,752262377777594,0.21842796,0.10634291,0.5298645
android.sensor.gyroscope,1523730271290,752262397799469,0.3095167,0.13688618,0.75893897
android.sensor.gyroscope,1523730271310,752262417790094,0.3714235,0.15788248,0.9086533
android.sensor.gyroscope,1523730271330,752262437782282,0.4614127,0.18598229,1.0769205
android.sensor.gyroscope,1523730271350,752262457804157,0.58222437,0.20587903,1.2738111
android.sensor.gyroscope,1523730271370,752262477794782,0.73712236,0.21188296,1.5069696
android.sensor.gyroscope,1523730271390,752262497785407,0.7859392,0.17315412,1.5508821
android.sensor.gyroscope,1523730271410,752262517776032,0.8099375,0.13662437,1.5639721
android.sensor.gyroscope,1523730271431,752262537797907,0.8565727,0.10988593,1.629963
android.sensor.gyroscope,1523730271450,752262557790094,0.9353743,0.102538094,1.7534974
android.sensor.gyroscope,1523730271470,752262577780719,0.9465619,0.0946143,1.7603216
android.sensor.gyroscope,1523730271490,752262597802594,0.95719093,0.09299114,1.7499543
android.sensor.gyroscope,1523730271510,752262617794782,0.9956405,0.11562806,1.7682279
android.sensor.gyroscope,1523730271531,752262637785407,1.0880907,0.16770868,1.8375001
android.sensor.gyroscope,1523730271550,752262657776032,1.2410861,0.24406683,1.9471242
android.sensor.gyroscope,1523730271570,752262677797907,1.4892546,0.38587484,2.1421125
android.sensor.gyroscope,1523730271590,752262697788532,1.8094003,0.5454154,2.3771908
android.sensor.gyroscope,1523730271610,752262717780719,2.2250156,0.70739937,2.6463554
android.sensor.gyroscope,1523730271630,752262737801032,2.8192477,1.0602875,3.064676
android.sensor.gyroscope,1523730271650,752262757793219,3.9493484,1.8317754,3.9133422
android.sensor.gyroscope,1523730271670,752262777783844,4.7631083,2.3692844,4.4246716
android.sensor.gyroscope,1523730271690,752262797774469,5.0813518,2.513536,4.503752
android.sensor.gyroscope,1523730271710,752262817796344,5.325698,2.5781655,4.4884806
android.sensor.gyroscope,1523730271731,752262837788532,5.4696875,2.5729818,4.4508514
android.sensor.gyroscope,1523730271750,752262857779157,5.2850666,2.3466475,4.2564216
android.sensor.gyroscope,1523730271770,752262877801032,4.9583583,2.016117,4.0611544
android.sensor.gyroscope,1523730271790,752262897791657,4.600566,1.7357823,3.9793506
android.sensor.gyroscope,1523730271810,752262917782282,4.229142,1.4406995,3.9455261
android.sensor.gyroscope,1523730271831,752262937774469,3.747536,1.0354689,3.9515302
android.sensor.gyroscope,1523730271850,752262957796344,3.2187536,0.7071201,4.132608
android.sensor.gyroscope,1523730271870,752262977785407,2.7248952,0.725673,4.46258
android.sensor.gyroscope,1523730271890,752262997777594,2.3161042,0.6427699,4.5067544
android.sensor.gyroscope,1523730271910,752263017799469,1.9727631,0.46359435,4.439402
android.sensor.gyroscope,1523730271930,752263037791657,1.6261407,0.3013311,4.4214077
android.sensor.gyroscope,1523730271950,752263057782282,1.3962634,0.32424727,4.2046027
android.sensor.gyroscope,1523730271970,752263077804157,1.211084,0.39488074,3.9373405
android.sensor.gyroscope,1523730271990,752263097794782,1.02292,0.43086943,3.7467158
android.sensor.gyroscope,1523730272010,752263117785407,0.84892815,0.3196047,3.5790071
android.sensor.gyroscope,1523730272031,752263137777594,0.71230376,0.15870279,3.3867416
android.sensor.gyroscope,1523730272050,752263157797907,0.61931264,0.04335398,3.1154127
android.sensor.gyroscope,1523730272070,752263177790094,0.52578044,0.18816395,2.8650627
android.sensor.gyroscope,1523730272090,752263197780719,0.5181359,0.47614327,2.6957133
android.sensor.gyroscope,1523730272110,752263217804157,0.47886598,0.5500405,2.5664368
android.sensor.gyroscope,1523730272130,752263237794782,0.32178634,0.39786527,2.4191835
android.sensor.gyroscope,1523730272150,752263257783844,0.12161454,0.19552924,2.1822026
android.sensor.gyroscope,1523730272170,752263277776032,-0.11234684,0.07771951,1.8917624
android.sensor.gyroscope,1523730272190,752263297797907,-0.4074122,0.09107128,1.5732398
android.sensor.gyroscope,1523730272210,752263317788532,-0.7180284,0.11917108,1.3057157
android.sensor.gyroscope,1523730272231,752263337779157,-0.9217433,0.06981317,1.16773
android.sensor.gyroscope,1523730272250,752263357802594,-1.1186339,0.07143632,1.0281036
android.sensor.gyroscope,1523730272270,752263377793219,-1.2329006,0.053441983,0.90074694
android.sensor.gyroscope,1523730272290,752263397783844,-1.2508949,0.011170107,0.8033925
android.sensor.gyroscope,1523730272310,752263417774469,-1.1761774,-0.040631264,0.7406654
android.sensor.gyroscope,1523730272331,752263437796344,-1.0676353,-0.09761626,0.6962118
android.sensor.gyroscope,1523730272350,752263457786969,-0.9888337,-0.16634732,0.6738542
android.sensor.gyroscope,1523730272370,752263477779157,-0.93755597,-0.20179497,0.6626666
android.sensor.gyroscope,1523730272390,752263497801032,-0.77066755,-0.34714597,0.6992138
android.sensor.gyroscope,1523730272410,752263517791657,-0.5345071,-0.59041,0.7586597
android.sensor.gyroscope,1523730272431,752263537783844,-0.35615188,-0.8712858,0.8502895
android.sensor.gyroscope,1523730272450,752263557772907,-0.24160592,-1.0883698,0.89202034
android.sensor.gyroscope,1523730272470,752263577796344,-0.12461651,-1.2757136,0.897745
