Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523730498171,752489277802594,6.483498,4.7979803,1.982399
android.sensor.accelerometer,1523730498188,752489297793219,6.1195793,4.865018,1.8770541
android.sensor.accelerometer,1523730498208,752489317783844,6.4068837,5.1235914,2.0494366
android.sensor.accelerometer,1523730498228,752489337776032,7.1730285,5.2385135,1.4173675
android.sensor.accelerometer,1523730498248,752489357797907,7.28795,4.9320555,1.2737153
android.sensor.accelerometer,1523730498268,752489377788532,6.588843,5.6120086,1.4077905
android.sensor.accelerometer,1523730498288,752489397779157,6.397307,6.1770406,1.0534488
android.sensor.accelerometer,1523730498308,752489417801032,6.991069,6.042965,0.7182605
android.sensor.accelerometer,1523730498328,752489437793219,7.5944076,5.9759274,0.7278373
android.sensor.accelerometer,1523730498348,752489457783844,8.686164,5.93762,0.641646
android.sensor.accelerometer,1523730498368,752489477774469,9.346964,6.1004257,0.7757214
android.sensor.accelerometer,1523730498388,752489497796344,9.308656,6.167464,1.5993267
android.sensor.accelerometer,1523730498408,752489517786969,8.935161,6.081272,1.7429788
android.sensor.accelerometer,1523730498428,752489537779157,8.781932,5.995081,1.2545617
android.sensor.accelerometer,1523730498448,752489557799469,8.896853,5.7843914,0.7374141
android.sensor.accelerometer,1523730498468,752489577791657,9.490616,6.033388,1.6280571
android.sensor.accelerometer,1523730498488,752489597782282,9.548077,6.042965,2.336741
android.sensor.accelerometer,1523730498508,752489617772907,9.758766,6.1387334,1.3982137
android.sensor.accelerometer,1523730498528,752489637794782,10.314221,6.301539,0.19153613
android.sensor.accelerometer,1523730498548,752489657785407,11.540052,6.445191,-1.13964
android.sensor.accelerometer,1523730498568,752489677777594,12.564771,6.742072,-2.1930888
android.sensor.accelerometer,1523730498588,752489697799469,13.800179,6.885724,-3.4093432
android.sensor.accelerometer,1523730498608,752489717790094,13.924677,6.703765,-4.1276035
android.sensor.accelerometer,1523730498628,752489737780719,12.631808,6.253655,-4.76925
android.sensor.accelerometer,1523730498648,752489757804157,11.204864,5.861006,-5.363012
android.sensor.accelerometer,1523730498668,752489777794782,9.911995,5.45878,-6.4260373
android.sensor.accelerometer,1523730498688,752489797785407,8.801085,5.00867,-7.192182
android.sensor.accelerometer,1523730498708,752489817776032,8.015787,4.5777135,-7.2687964
android.sensor.accelerometer,1523730498728,752489837799469,7.632715,4.156334,-7.1251445
android.sensor.accelerometer,1523730498748,752489857790094,7.249643,3.514688,-6.5505357
android.sensor.accelerometer,1523730498768,752489877779157,6.291962,2.8921957,-5.401319
android.sensor.accelerometer,1523730498788,752489897802594,5.209783,2.384625,-4.5394063
android.sensor.accelerometer,1523730498808,752489917793219,3.8786068,1.9632454,-4.10845
android.sensor.accelerometer,1523730498828,752489937783844,2.5953147,1.541866,-3.5242648
android.sensor.accelerometer,1523730498848,752489957776032,1.5993267,1.283292,-3.0454245
android.sensor.accelerometer,1523730498868,752489977797907,1.1779473,0.82360536,-2.815581
android.sensor.accelerometer,1523730498888,752489997788532,0.81402856,0.31603462,-2.3654714
android.sensor.accelerometer,1523730498908,752490017779157,0.6607997,-0.12449849,-1.3503298
android.sensor.accelerometer,1523730498928,752490037802594,0.7086837,-0.545878,-0.545878
android.sensor.accelerometer,1523730498948,752490057793219,0.49799395,-0.94810385,0.4309563
android.sensor.accelerometer,1523730498968,752490077782282,0.25857377,-1.2449849,1.7717092
android.sensor.accelerometer,1523730498988,752490097774469,0.31603462,-1.5227122,3.0933087
android.sensor.accelerometer,1523730499008,752490117796344,1.292869,-1.9249382,3.5529952
android.sensor.accelerometer,1523730499028,752490137786969,1.9728222,-2.4420857,4.606444
android.sensor.accelerometer,1523730499048,752490157777594,2.5187001,-2.7389667,6.1195793
android.sensor.accelerometer,1523730499068,752490177801032,3.3423057,-2.719813,7.8050976
android.sensor.accelerometer,1523730499088,752490197791657,3.8594532,-2.9879637,8.39886
android.sensor.accelerometer,1523730499108,752490217782282,4.548983,-3.8019924,8.63828
android.sensor.accelerometer,1523730499128,752490237772907,6.5218053,-4.012682,9.3661175
android.sensor.accelerometer,1523730499148,752490257796344,8.475474,-3.8881836,10.208876
android.sensor.accelerometer,1523730499168,752490277786969,9.461885,-3.8881836,11.386824
android.sensor.accelerometer,1523730499188,752490297777594,10.524911,-4.55856,11.587936
android.sensor.accelerometer,1523730499208,752490317801032,12.124237,-5.0661306,11.271901
android.sensor.accelerometer,1523730499228,752490337790094,12.804191,-5.0661306,9.80665
android.sensor.accelerometer,1523730499248,752490357780719,14.384364,-5.449203,8.331821
android.sensor.accelerometer,1523730499268,752490377804157,15.093047,-4.999093,8.475474
android.sensor.accelerometer,1523730499288,752490397794782,17.870321,-5.1235914,10.840945
android.sensor.accelerometer,1523730499308,752490417785407,19.096153,-5.4204726,10.151415
android.sensor.accelerometer,1523730499328,752490437776032,18.588581,-6.090849,8.944737
android.sensor.accelerometer,1523730499348,752490457799469,18.339584,-6.7229185,8.159439
android.sensor.accelerometer,1523730499368,752490477788532,18.569427,-6.751649,7.680599
android.sensor.accelerometer,1523730499388,752490497780719,19.82399,-6.751649,6.205771
android.sensor.accelerometer,1523730499408,752490517802594,21.672314,-6.9527617,4.7405195
android.sensor.accelerometer,1523730499428,752490537793219,22.754494,-6.8569937,4.2999864
android.sensor.accelerometer,1523730499448,752490557785407,23.836672,-6.943185,3.2561142
android.sensor.accelerometer,1523730499468,752490577776032,25.694572,-7.3166804,1.8195933
android.sensor.accelerometer,1523730499488,752490597797907,26.977865,-7.9583263,-0.61291564
android.sensor.accelerometer,1523730499508,752490617788532,27.609934,-8.542512,-2.480393
android.sensor.accelerometer,1523730499528,752490637779157,26.81506,-9.14585,-2.2505496
android.sensor.accelerometer,1523730499548,752490657801032,25.723303,-9.854534,-1.8962077
android.sensor.accelerometer,1523730499568,752490677791657,23.520638,-9.911995,-3.3614593
android.sensor.accelerometer,1523730499588,752490697782282,21.691467,-9.701305,-5.104438
android.sensor.accelerometer,1523730499608,752490717774469,20.551826,-8.992621,-4.606444
android.sensor.accelerometer,1523730499628,752490737796344,18.962078,-8.552089,-3.3997664
android.sensor.accelerometer,1523730499648,752490757786969,17.563864,-8.341399,-3.5817258
android.sensor.accelerometer,1523730499668,752490777779157,15.887922,-8.207323,-5.2385135
android.sensor.accelerometer,1523730499688,752490797801032,14.192827,-7.843405,-6.3589997
android.sensor.accelerometer,1523730499708,752490817791657,12.239159,-7.5944076,-5.7843914
android.sensor.accelerometer,1523730499728,752490837782282,10.342952,-7.3166804,-4.271256
android.sensor.accelerometer,1523730499748,752490857772907,8.350976,-6.6750345,-3.6774938
android.sensor.accelerometer,1523730499768,752490877794782,6.703765,-6.3685765,-4.414908
android.sensor.accelerometer,1523730499788,752490897785407,4.817134,-5.841852,-4.232949
android.sensor.accelerometer,1523730499808,752490917777594,3.2752678,-5.209783,-3.5529952
android.sensor.accelerometer,1523730499828,752490937799469,2.183512,-4.453215,-2.4516625
android.sensor.accelerometer,1523730499848,752490957791657,0.6799533,-3.6583402,-1.8195933
android.sensor.accelerometer,1523730499868,752490977780719,-0.5746084,-2.8634653,-0.7469909
android.sensor.accelerometer,1523730499888,752490997804157,-1.4748282,-2.1260512,0.7182605
android.sensor.accelerometer,1523730499908,752491017794782,-1.982399,-1.0630256,1.6089035
android.sensor.accelerometer,1523730499928,752491037786969,-0.8810662,-0.2777274,2.3463178
android.sensor.accelerometer,1523730499948,752491057776032,0.37349546,0.90021986,3.7828386
android.sensor.accelerometer,1523730499968,752491077799469,-0.47884035,2.681506,4.654328
android.sensor.accelerometer,1523730499988,752491097790094,-1.0247183,2.9879637,5.056554
android.sensor.accelerometer,1523730500008,752491117780719,0.047884032,3.2465374,9.691729
android.sensor.accelerometer,1523730500028,752491137802594,2.0685902,3.9935284,10.266336
android.sensor.accelerometer,1523730500048,752491157793219,3.6104562,4.7500963,9.423578
android.sensor.accelerometer,1523730500068,752491177783844,4.232949,5.1810527,10.295067
android.sensor.accelerometer,1523730500088,752491197776032,4.855441,5.48751,11.022904
android.sensor.accelerometer,1523730500108,752491217797907,3.9743748,5.803545,9.691729
android.sensor.accelerometer,1523730500128,752491237788532,4.1659107,5.9663506,9.452309
android.sensor.accelerometer,1523730500148,752491257780719,5.046977,5.9759274,8.408437
android.sensor.accelerometer,1523730500168,752491277802594,4.7788267,6.2632318,6.9527617
