Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523730498171,752489277802594,0.60349995,-0.3212453,0.31251866
android.sensor.gyroscope,1523730498190,752489297793219,0.5639508,-0.34768704,0.35479054
android.sensor.gyroscope,1523730498210,752489317783844,0.51841515,-0.3605152,0.4147775
android.sensor.gyroscope,1523730498230,752489337776032,0.49005353,-0.3926991,0.48813367
android.sensor.gyroscope,1523730498250,752489357797907,0.4565083,-0.4292288,0.5140518
android.sensor.gyroscope,1523730498270,752489377788532,0.41887903,-0.48404962,0.5058662
android.sensor.gyroscope,1523730498290,752489397779157,0.38423422,-0.5516811,0.48623127
android.sensor.gyroscope,1523730498310,752489417801032,0.3386986,-0.61931264,0.48377037
android.sensor.gyroscope,1523730498330,752489437793219,0.29070204,-0.7136651,0.49277624
android.sensor.gyroscope,1523730498350,752489457783844,0.19579104,-0.95582956,0.45486772
android.sensor.gyroscope,1523730498370,752489477774469,0.10770427,-1.2159884,0.43605307
android.sensor.gyroscope,1523730498390,752489497796344,0.076358154,-1.2296368,0.4284085
android.sensor.gyroscope,1523730498410,752489517786969,0.08044223,-1.1336437,0.46005133
android.sensor.gyroscope,1523730498431,752489537779157,0.09817477,-1.0180156,0.49631926
android.sensor.gyroscope,1523730498450,752489557799469,0.10988593,-0.9452005,0.50694835
android.sensor.gyroscope,1523730498470,752489577791657,0.09271189,-0.9517455,0.47640508
android.sensor.gyroscope,1523730498490,752489597782282,0.055623643,-1.0141934,0.4183205
android.sensor.gyroscope,1523730498510,752489617772907,0.049898963,-1.0166543,0.3790506
android.sensor.gyroscope,1523730498530,752489637794782,0.06544985,-0.9615542,0.35859534
android.sensor.gyroscope,1523730498550,752489657785407,0.06817256,-0.9517455,0.33297393
android.sensor.gyroscope,1523730498570,752489677777594,-0.033265974,-1.1759156,0.25033256
android.sensor.gyroscope,1523730498590,752489697799469,-0.11943288,-1.4047108,0.22607249
android.sensor.gyroscope,1523730498610,752489717790094,-0.16170475,-1.5105126,0.22661355
android.sensor.gyroscope,1523730498630,752489737780719,-0.15762068,-1.5107919,0.22769566
android.sensor.gyroscope,1523730498650,752489757804157,-0.15243706,-1.4960613,0.22879522
android.sensor.gyroscope,1523730498670,752489777794782,-0.17425367,-1.5691557,0.23670155
android.sensor.gyroscope,1523730498690,752489797785407,-0.20233601,-1.695151,0.24788912
android.sensor.gyroscope,1523730498710,752489817776032,-0.20151572,-1.7158681,0.25251424
android.sensor.gyroscope,1523730498730,752489837799469,-0.18325958,-1.6779596,0.25007078
android.sensor.gyroscope,1523730498750,752489857790094,-0.16852899,-1.6787798,0.26316074
android.sensor.gyroscope,1523730498770,752489877779157,-0.13580407,-1.6403302,0.293704
android.sensor.gyroscope,1523730498790,752489897802594,-0.09080948,-1.5860679,0.30841714
android.sensor.gyroscope,1523730498810,752489917793219,-0.044436082,-1.5222412,0.32368878
android.sensor.gyroscope,1523730498830,752489937783844,-0.0070860367,-1.4835298,0.3359759
android.sensor.gyroscope,1523730498850,752489957776032,0.0095294975,-1.5110712,0.34524357
android.sensor.gyroscope,1523730498870,752489977797907,0.02453933,-1.5075282,0.340601
android.sensor.gyroscope,1523730498890,752489997788532,0.04499459,-1.4906158,0.34932765
android.sensor.gyroscope,1523730498910,752490017779157,0.06380924,-1.4660766,0.35124752
android.sensor.gyroscope,1523730498930,752490037802594,0.10089748,-1.4259864,0.37196457
android.sensor.gyroscope,1523730498950,752490057793219,0.13226105,-1.4074335,0.3946015
android.sensor.gyroscope,1523730498970,752490077782282,0.17097245,-1.3758081,0.41942006
android.sensor.gyroscope,1523730498990,752490097774469,0.218969,-1.3010732,0.4483227
android.sensor.gyroscope,1523730499010,752490117796344,0.26888543,-1.1786383,0.48923326
android.sensor.gyroscope,1523730499031,752490137786969,0.32178634,-1.033008,0.5407728
android.sensor.gyroscope,1523730499050,752490157777594,0.38259363,-0.79848814,0.6122266
android.sensor.gyroscope,1523730499070,752490177801032,0.44586182,-0.4750437,0.69212776
android.sensor.gyroscope,1523730499090,752490197791657,0.5546831,-0.05454154,0.8216661
android.sensor.gyroscope,1523730499110,752490217782282,0.77965605,0.5263215,1.0319259
android.sensor.gyroscope,1523730499130,752490237772907,1.1603647,1.2961688,1.3417219
android.sensor.gyroscope,1523730499150,752490257796344,1.6714145,2.16639,1.7393253
android.sensor.gyroscope,1523730499170,752490277786969,2.1966538,2.9340556,2.1980152
