Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523730518494,752509597779157,6.5984197,5.506664,4.3382936
android.sensor.accelerometer,1523730518508,752509617801032,6.215348,5.7365074,4.6160207
android.sensor.accelerometer,1523730518528,752509637791657,5.793968,5.851429,4.453215
android.sensor.accelerometer,1523730518548,752509657783844,5.7843914,5.947197,4.3287168
android.sensor.accelerometer,1523730518568,752509677774469,5.9567738,5.995081,4.2425256
android.sensor.accelerometer,1523730518588,752509697796344,6.0238113,6.090849,4.003105
android.sensor.accelerometer,1523730518608,752509717786969,6.253655,6.1866174,3.8977604
android.sensor.accelerometer,1523730518628,752509737779157,6.6367273,6.157887,4.232949
android.sensor.accelerometer,1523730518648,752509757799469,6.694188,6.196194,4.548983
android.sensor.accelerometer,1523730518668,752509777791657,6.694188,6.1387334,4.7022123
android.sensor.accelerometer,1523730518688,752509797782282,6.6367273,6.129156,4.654328
android.sensor.accelerometer,1523730518708,752509817772907,6.655881,6.042965,4.3478703
android.sensor.accelerometer,1523730518728,752509837794782,6.6367273,6.0238113,4.3287168
android.sensor.accelerometer,1523730518748,752509857785407,6.531382,5.995081,4.4915223
android.sensor.accelerometer,1523730518768,752509877776032,6.38773,6.042965,4.462792
android.sensor.accelerometer,1523730518788,752509897799469,6.4739213,6.033388,4.309563
android.sensor.accelerometer,1523730518808,752509917790094,6.483498,6.0621185,4.3861775
android.sensor.accelerometer,1523730518828,752509937780719,6.5122285,6.196194,4.759673
android.sensor.accelerometer,1523730518848,752509957802594,6.6367273,6.3111157,4.8267107
android.sensor.accelerometer,1523730518868,752509977794782,6.6846113,6.4643445,4.76925
android.sensor.accelerometer,1523730518888,752509997785407,6.943185,6.6175733,5.142745
android.sensor.accelerometer,1523730518908,752510017776032,7.3645644,6.9048777,6.167464
android.sensor.accelerometer,1523730518928,752510037797907,7.5561004,7.192182,7.9870567
android.sensor.accelerometer,1523730518948,752510057788532,7.326257,7.153875,9.911995
android.sensor.accelerometer,1523730518968,752510077780719,6.981492,7.0485296,10.477027
android.sensor.accelerometer,1523730518988,752510097801032,6.483498,6.943185,10.0748005
android.sensor.accelerometer,1523730519008,752510117793219,5.8705826,6.7708025,9.5385
android.sensor.accelerometer,1523730519028,752510137783844,5.2289367,6.38773,9.595961
android.sensor.accelerometer,1523730519048,752510157776032,4.673482,5.755661,8.66701
android.sensor.accelerometer,1523730519068,752510177796344,3.3806129,5.631162,9.624691
android.sensor.accelerometer,1523730519088,752510197788532,2.384625,4.8458643,8.820239
android.sensor.accelerometer,1523730519108,752510217779157,1.3503298,4.663905,8.408437
android.sensor.accelerometer,1523730519128,752510237801032,0.78529817,4.175488,8.130709
android.sensor.accelerometer,1523730519148,752510257793219,0.79487497,3.6583402,7.6231384
android.sensor.accelerometer,1523730519168,752510277783844,1.283292,3.1028855,6.6175733
android.sensor.accelerometer,1523730519188,752510297774469,1.4460979,2.480393,5.1140146
android.sensor.accelerometer,1523730519208,752510317796344,1.1683705,2.1452048,3.6391866
android.sensor.accelerometer,1523730519228,752510337786969,0.7661445,1.8483237,2.7102363
android.sensor.accelerometer,1523730519248,752510357777594,0.5554548,1.6089035,2.5953147
android.sensor.accelerometer,1523730519268,752510377801032,0.6703765,1.3120226,2.5570073
android.sensor.accelerometer,1523730519288,752510397791657,1.5131354,1.043872,1.3311762
android.sensor.accelerometer,1523730519308,752510417782282,1.9632454,0.7757214,-0.8714894
android.sensor.accelerometer,1523730519328,752510437774469,2.6910827,0.17238252,-2.1068976
android.sensor.accelerometer,1523730519348,752510457794782,3.3518825,-0.047884032,-2.480393
android.sensor.accelerometer,1523730519368,752510477785407,3.6487634,-0.48841715,-2.8060043
android.sensor.accelerometer,1523730519388,752510497777594,4.1276035,-0.90979666,-3.1794999
android.sensor.accelerometer,1523730519408,752510517799469,4.4819455,-1.1587936,-3.323152
android.sensor.accelerometer,1523730519428,752510537790094,5.391742,-1.8100165,-3.6296098
android.sensor.accelerometer,1523730519448,752510557780719,5.659893,-2.4995465,-4.223372
android.sensor.accelerometer,1523730519468,752510577804157,5.6982,-2.777274,-3.514688
android.sensor.accelerometer,1523730519488,752510597794782,7.8529816,-3.4955344,-2.528277
android.sensor.accelerometer,1523730519508,752510617785407,9.624691,-4.223372,-2.72939
android.sensor.accelerometer,1523730519528,752510637776032,10.611102,-4.8745947,-2.1547816
android.sensor.accelerometer,1523730519548,752510657797907,11.722012,-5.2002063,-1.3503298
android.sensor.accelerometer,1523730519568,752510677790094,12.928689,-5.4204726,-1.1971009
android.sensor.accelerometer,1523730519588,752510697780719,14.777013,-5.353435,-2.585738
android.sensor.accelerometer,1523730519608,752510717802594,17.51598,-5.1810527,-4.31914
android.sensor.accelerometer,1523730519628,752510737793219,20.12087,-5.7269306,-4.673482
android.sensor.accelerometer,1523730519648,752510757785407,20.752941,-5.410896,-3.0071173
android.sensor.accelerometer,1523730519668,752510777776032,21.519085,-5.1523223,-1.9440918
android.sensor.accelerometer,1523730519688,752510797797907,22.687456,-4.9895163,-1.7621324
android.sensor.accelerometer,1523730519708,752510817788532,24.305935,-5.3725886,-1.982399
android.sensor.accelerometer,1523730519728,752510837779157,25.570074,-6.1387334,-0.82360536
android.sensor.accelerometer,1523730519748,752510857802594,24.583664,-6.7133417,3.7541082
android.sensor.accelerometer,1523730519768,752510877793219,23.597252,-6.8665705,7.6135616
android.sensor.accelerometer,1523730519788,752510897783844,23.558945,-6.8569937,8.331821
android.sensor.accelerometer,1523730519808,752510917774469,23.463177,-6.9623384,7.785944
android.sensor.accelerometer,1523730519828,752510937796344,23.300371,-7.4986396,8.714894
android.sensor.accelerometer,1523730519848,752510957788532,22.42888,-7.517793,12.248735
android.sensor.accelerometer,1523730519868,752510977777594,21.605276,-7.479486,15.131354
android.sensor.accelerometer,1523730519888,752510997801032,20.503942,-7.038953,15.945383
android.sensor.accelerometer,1523730519908,752511017791657,19.55584,-6.9719152,14.824897
android.sensor.accelerometer,1523730519928,752511037782282,18.23424,-7.2209125,12.689269
android.sensor.accelerometer,1523730519948,752511057772907,15.763424,-7.5561004,12.698846
android.sensor.accelerometer,1523730519968,752511077794782,13.64695,-7.9870567,14.671668
android.sensor.accelerometer,1523730519988,752511097786969,12.066776,-8.465898,14.211981
android.sensor.accelerometer,1523730520008,752511117777594,9.346964,-8.0924015,15.064317
android.sensor.accelerometer,1523730520028,752511137799469,7.7667904,-8.762778,14.528016
android.sensor.accelerometer,1523730520048,752511157790094,5.9280434,-8.101978,13.292608
android.sensor.accelerometer,1523730520068,752511177780719,4.414908,-7.52737,12.612655
android.sensor.accelerometer,1523730520088,752511197804157,2.6719291,-6.2632318,12.172121
android.sensor.accelerometer,1523730520108,752511217794782,2.432509,-5.3342814,10.01734
android.sensor.accelerometer,1523730520128,752511237785407,2.930503,-4.721366,8.082825
android.sensor.accelerometer,1523730520148,752511257777594,2.5091233,-3.821146,6.83784
android.sensor.accelerometer,1523730520168,752511277797907,2.27928,-3.074155,5.535394
android.sensor.accelerometer,1523730520188,752511297790094,1.9249382,-2.6623523,4.903325
android.sensor.accelerometer,1523730520208,752511317780719,0.94810385,-1.5897499,4.0797195
android.sensor.accelerometer,1523730520228,752511337804157,-0.35434186,-0.6991069,3.074155
android.sensor.accelerometer,1523730520248,752511357793219,-0.40222588,0.20111294,1.1492168
android.sensor.accelerometer,1523730520268,752511377783844,-0.47884035,1.1587936,-0.6799533
android.sensor.accelerometer,1523730520288,752511397776032,-0.08619126,2.183512,-1.5801731
android.sensor.accelerometer,1523730520308,752511417797907,1.0342951,2.834735,-2.2601264
android.sensor.accelerometer,1523730520328,752511437788532,2.0015526,3.41892,-3.1028855
android.sensor.accelerometer,1523730520348,752511457779157,2.0494366,3.8115692,-3.2273839
android.sensor.accelerometer,1523730520368,752511477801032,1.934515,4.3287168,-2.825158
android.sensor.accelerometer,1523730520388,752511497791657,2.3654714,4.7884035,-2.135628
android.sensor.accelerometer,1523730520408,752511517783844,2.8921957,5.209783,-1.3024458
