Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523730539150,752530257788532,-0.046896998,0.049619712,0.0376293
android.sensor.gyroscope,1523730539170,752530277780719,-0.033807028,0.035709437,0.02698279
android.sensor.gyroscope,1523730539190,752530297802594,-0.054262288,0.032166418,0.026720991
android.sensor.gyroscope,1523730539210,752530317793219,-0.06352998,0.013351769,0.022078415
android.sensor.gyroscope,1523730539230,752530337783844,-0.07497934,-0.006806784,0.020437805
android.sensor.gyroscope,1523730539250,752530357776032,-0.06517059,-0.008447394,0.019355701
android.sensor.gyroscope,1523730539270,752530377796344,-0.037088245,-0.0070860367,0.01144936
android.sensor.gyroscope,1523730539290,752530397788532,-0.07225663,-0.017715093,0.023439772
android.sensor.gyroscope,1523730539310,752530417779157,-0.080721475,-0.0283616,0.018535396
android.sensor.gyroscope,1523730539330,752530437801032,-0.0861669,-0.033527777,0.025621433
android.sensor.gyroscope,1523730539350,752530457791657,-0.07798131,-0.035709437,0.017453292
android.sensor.gyroscope,1523730539370,752530477782282,-0.09080948,-0.044174284,0.025621433
android.sensor.gyroscope,1523730539390,752530497774469,-0.07579965,-0.039531708,0.01881465
android.sensor.gyroscope,1523730539410,752530517796344,-0.084264494,-0.038449604,0.025359634
android.sensor.gyroscope,1523730539430,752530537786969,-0.07497934,-0.034906585,0.0286234
android.sensor.gyroscope,1523730539450,752530557777594,-0.07579965,-0.03598869,0.025080381
android.sensor.gyroscope,1523730539470,752530577801032,-0.08180358,-0.041992623,0.028082348
android.sensor.gyroscope,1523730539490,752530597791657,-0.08644616,-0.049898963,0.029984757
android.sensor.gyroscope,1523730539510,752530617782282,-0.06352998,-0.035168383,0.0286234
android.sensor.gyroscope,1523730539530,752530637774469,-0.09653416,-0.048258353,0.04717625
android.sensor.gyroscope,1523730539550,752530657794782,-0.08562585,-0.017174039,0.06843436
android.sensor.gyroscope,1523730539570,752530677786969,-0.03598869,0.059166662,0.08670796
android.sensor.gyroscope,1523730539590,752530697777594,0.01308997,0.16442747,0.12053244
android.sensor.gyroscope,1523730539610,752530717799469,0.08862782,0.28605947,0.151896
android.sensor.gyroscope,1523730539630,752530737790094,0.178617,0.41777948,0.17479472
