Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523730634448,752625557779157,7.9966335,5.171476,0.1340753
android.sensor.accelerometer,1523730634468,752625577801032,8.063671,5.1906295,0.24899697
android.sensor.accelerometer,1523730634488,752625597791657,8.197746,5.21936,0.31603462
android.sensor.accelerometer,1523730634508,752625617782282,8.1881695,5.257667,0.40222588
android.sensor.accelerometer,1523730634528,752625637774469,8.025364,5.2863975,0.33518824
android.sensor.accelerometer,1523730634548,752625657796344,8.015787,5.315128,0.24899697
android.sensor.accelerometer,1523730634568,752625677785407,8.130709,5.305551,0.0
android.sensor.accelerometer,1523730634588,752625697777594,8.054094,5.391742,-0.06703765
android.sensor.accelerometer,1523730634608,752625717799469,7.97748,5.497087,-0.24899697
android.sensor.accelerometer,1523730634628,752625737790094,8.293514,5.6886234,-0.89064306
android.sensor.accelerometer,1523730634648,752625757782282,9.241618,5.90889,-1.6663644
android.sensor.accelerometer,1523730634668,752625777804157,10.649409,6.1387334,-1.7908629
android.sensor.accelerometer,1523730634688,752625797794782,12.880805,6.3781533,-1.2066777
android.sensor.accelerometer,1523730634708,752625817785407,16.060305,6.588843,0.94810385
android.sensor.accelerometer,1523730634728,752625837777594,18.464083,6.3111157,4.003105
android.sensor.accelerometer,1523730634748,752625857799469,19.306843,5.851429,7.97748
android.sensor.accelerometer,1523730634768,752625877790094,18.65562,5.3725886,12.248735
android.sensor.accelerometer,1523730634788,752625897780719,17.707516,4.510676,12.98615
android.sensor.accelerometer,1523730634808,752625917802594,16.156073,3.1316159,10.371682
android.sensor.accelerometer,1523730634828,752625937793219,14.173674,2.0494366,9.299079
android.sensor.accelerometer,1523730634848,752625957785407,12.181698,1.091756,9.701305
android.sensor.accelerometer,1523730634868,752625977776032,9.854534,0.05746084,9.069236
android.sensor.accelerometer,1523730634888,752625997797907,6.895301,-0.9576807,7.4028716
android.sensor.accelerometer,1523730634908,752626017786969,4.2521024,-1.934515,4.9224787
android.sensor.accelerometer,1523730634928,752626037779157,1.9153614,-2.336741,3.0071173
android.sensor.accelerometer,1523730634948,752626057802594,0.41180268,-2.4612393,1.6280571
android.sensor.accelerometer,1523730634968,752626077793219,-0.82360536,-2.8634653,0.2681506
