Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523730634450,752625557779157,0.0,0.0,0.0
android.sensor.gyroscope,1523730634470,752625577801032,0.0,0.0,0.0
android.sensor.gyroscope,1523730634490,752625597791657,0.0,0.0,0.0
android.sensor.gyroscope,1523730634510,752625617782282,-0.035709437,-0.056985,0.012269665
android.sensor.gyroscope,1523730634530,752625637774469,0.0,0.0,0.0
android.sensor.gyroscope,1523730634550,752625657796344,0.0,0.0,0.0
android.sensor.gyroscope,1523730634570,752625677785407,0.0,0.0,0.0
android.sensor.gyroscope,1523730634590,752625697777594,0.0,0.0,0.0
android.sensor.gyroscope,1523730634610,752625717799469,-0.021816615,-0.032166418,0.0070860367
android.sensor.gyroscope,1523730634630,752625737790094,-0.06080727,-0.08344419,0.013351769
android.sensor.gyroscope,1523730634650,752625757782282,-0.11861257,-0.15515977,0.014713125
android.sensor.gyroscope,1523730634670,752625777804157,-0.18243927,-0.23261748,0.016894788
android.sensor.gyroscope,1523730634690,752625797794782,-0.26506317,-0.33269465,0.028902652
android.sensor.gyroscope,1523730634710,752625817785407,-0.3228859,-0.4027871,0.08970992
android.sensor.gyroscope,1523730634730,752625837777594,-0.17697638,-0.218969,0.19579104
android.sensor.gyroscope,1523730634750,752625857799469,0.085887656,0.11616912,0.2819754
android.sensor.gyroscope,1523730634770,752625877790094,0.4063301,0.5374916,0.38533378
android.sensor.gyroscope,1523730634790,752625897780719,0.64739496,0.8748463,0.48541096
android.sensor.gyroscope,1523730634810,752625917802594,0.7338411,1.0433753,0.5680348
android.sensor.gyroscope,1523730634830,752625937793219,0.7360228,1.1276398,0.6397679
android.sensor.gyroscope,1523730634850,752625957785407,0.72021013,1.1999139,0.69703215
android.sensor.gyroscope,1523730634870,752625977776032,0.66484827,1.2222716,0.7398451
android.sensor.gyroscope,1523730634890,752625997797907,0.5985781,1.2069999,0.7551167
android.sensor.gyroscope,1523730634910,752626017786969,0.5230403,1.1769977,0.7723082
android.sensor.gyroscope,1523730634930,752626037779157,0.4284085,1.161726,0.81784385
android.sensor.gyroscope,1523730634950,752626057802594,0.31714377,1.1028212,0.81974626
android.sensor.gyroscope,1523730634970,752626077793219,0.188705,1.0163751,0.81320125
android.sensor.gyroscope,1523730634990,752626097783844,0.06080727,0.93211055,0.8110196
android.sensor.gyroscope,1523730635010,752626117774469,-0.020176006,0.8693834,0.81484187
android.sensor.gyroscope,1523730635031,752626137796344,-0.07061602,0.81974626,0.83147484
android.sensor.gyroscope,1523730635050,752626157786969,-0.09679596,0.7425678,0.8718443
android.sensor.gyroscope,1523730635070,752626177779157,-0.12625712,0.5388704,0.9263859
android.sensor.gyroscope,1523730635090,752626197801032,-0.1696111,0.22907446,1.0081894
android.sensor.gyroscope,1523730635110,752626217791657,-0.20043361,-0.09925687,1.148095
android.sensor.gyroscope,1523730635131,752626237782282,-0.23151793,-0.49549899,1.3752496
android.sensor.gyroscope,1523730635150,752626257772907,-0.24706881,-1.1549019,1.7128661
android.sensor.gyroscope,1523730635170,752626277796344,-0.16252506,-2.12712,2.1786597
android.sensor.gyroscope,1523730635190,752626297785407,0.040352013,-3.363843,2.6599865
android.sensor.gyroscope,1523730635210,752626317777594,0.3021514,-4.5899367,2.9866946
android.sensor.gyroscope,1523730635231,752626337799469,0.48841295,-5.4756913,2.9847748
android.sensor.gyroscope,1523730635250,752626357790094,0.56286865,-5.8844824,2.7796986
android.sensor.gyroscope,1523730635270,752626377782282,0.5647711,-5.903297,2.533171
android.sensor.gyroscope,1523730635290,752626397804157,0.5486792,-5.6734023,2.2953699
android.sensor.gyroscope,1523730635310,752626417794782,0.53558916,-5.3128867,2.0897524
