Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523730589408,752580517786969,3.6008794,9.050082,-2.7389667
android.sensor.accelerometer,1523730589428,752580537779157,3.6487634,9.088389,-1.9536686
android.sensor.accelerometer,1523730589448,752580557801032,3.7828386,9.088389,-1.2066777
android.sensor.accelerometer,1523730589468,752580577791657,3.6296098,9.14585,-1.2737153
android.sensor.accelerometer,1523730589488,752580597782282,3.9360676,9.174581,-1.4077905
android.sensor.accelerometer,1523730589508,752580617774469,4.0701427,9.14585,-1.2258313
android.sensor.accelerometer,1523730589528,752580637796344,4.0318356,9.222465,-1.13964
android.sensor.accelerometer,1523730589548,752580657786969,3.8019924,9.346964,-1.2258313
android.sensor.accelerometer,1523730589568,752580677779157,4.232949,9.404425,-1.4748282
android.sensor.accelerometer,1523730589588,752580697801032,4.4244847,9.490616,-1.3024458
android.sensor.accelerometer,1523730589608,752580717791657,4.223372,9.490616,-1.3120226
android.sensor.accelerometer,1523730589628,752580737782282,4.0222588,9.471462,-1.7046716
android.sensor.accelerometer,1523730589648,752580757772907,4.2042184,9.461885,-2.3080103
android.sensor.accelerometer,1523730589668,752580777794782,3.8402996,9.595961,-2.030283
android.sensor.accelerometer,1523730589688,752580797785407,3.6391866,9.768343,-1.2354081
android.sensor.accelerometer,1523730589708,752580817777594,3.9360676,9.787497,-0.2681506
android.sensor.accelerometer,1523730589728,752580837799469,3.8019924,9.902418,0.38307226
android.sensor.accelerometer,1523730589748,752580857791657,3.916914,9.701305,0.4213795
android.sensor.accelerometer,1523730589768,752580877780719,4.7884035,9.270349,-1.0630256
android.sensor.accelerometer,1523730589788,752580897802594,4.7405195,8.571242,-2.4037786
android.sensor.accelerometer,1523730589808,752580917794782,5.0278234,8.073248,-2.5761611
android.sensor.accelerometer,1523730589828,752580937785407,4.711789,6.8761473,-3.3135753
android.sensor.accelerometer,1523730589848,752580957776032,3.3039982,5.803545,-3.6008794
android.sensor.accelerometer,1523730589868,752580977797907,2.566584,4.4244847,-4.1659107
android.sensor.accelerometer,1523730589888,752580997788532,1.9249382,2.7581203,-5.554548
android.sensor.accelerometer,1523730589908,752581017779157,0.047884032,0.7565677,-7.4124484
android.sensor.accelerometer,1523730589928,752581037802594,-1.5897499,-1.5035586,-9.797073
android.sensor.accelerometer,1523730589948,752581057793219,-2.585738,-4.050989,-10.160992
android.sensor.accelerometer,1523730589968,752581077783844,-3.6966474,-6.789956,-10.888829
android.sensor.accelerometer,1523730589988,752581097774469,-5.391742,-10.46745,-13.158532
android.sensor.accelerometer,1523730590008,752581117796344,-7.3645644,-14.719552,-18.732235
android.sensor.accelerometer,1523730590028,752581137788532,-9.864111,-19.718645,-22.869415
android.sensor.accelerometer,1523730590048,752581157779157,-11.702858,-25.627535,-26.977865
android.sensor.accelerometer,1523730590068,752581177801032,-12.172121,-33.89232,-24.018631
android.sensor.accelerometer,1523730590088,752581197793219,-1.292869,-46.06444,-14.911088
android.sensor.accelerometer,1523730590108,752581217783844,15.629349,-53.98446,-14.12579
android.sensor.accelerometer,1523730590128,752581237774469,32.340878,-50.0867,-22.294806
android.sensor.accelerometer,1523730590148,752581257796344,39.97359,-38.125267,-29.716831
android.sensor.accelerometer,1523730590168,752581277786969,41.438843,-26.288334,-8.743625
android.sensor.accelerometer,1523730590188,752581297779157,50.335697,-9.969456,22.620419
android.sensor.accelerometer,1523730590208,752581317801032,51.753063,-3.6966474,2.7964275
