Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523730583337,752574437793219,-0.19060741,-0.62095326,-0.048799407
android.sensor.gyroscope,1523730583350,752574457783844,-0.11725122,-0.6599439,-0.023177972
android.sensor.gyroscope,1523730583370,752574477776032,-0.03408628,-0.6888465,-0.0013613568
android.sensor.gyroscope,1523730583390,752574497799469,0.02453933,-0.7234913,0.020717058
android.sensor.gyroscope,1523730583410,752574517788532,0.056985,-0.7477514,0.049619712
android.sensor.gyroscope,1523730583430,752574537780719,0.103340946,-0.78457785,0.07798131
android.sensor.gyroscope,1523730583450,752574557802594,0.12980014,-0.8827526,0.11562806
android.sensor.gyroscope,1523730583470,752574577793219,0.15271631,-0.98611104,0.1603434
android.sensor.gyroscope,1523730583490,752574597783844,0.16552703,-1.1197335,0.21324433
android.sensor.gyroscope,1523730583510,752574617774469,0.18924604,-1.2285372,0.26069984
android.sensor.gyroscope,1523730583530,752574637797907,0.21542598,-1.2901648,0.29724702
android.sensor.gyroscope,1523730583550,752574657788532,0.23888321,-1.3482668,0.32642892
android.sensor.gyroscope,1523730583570,752574677779157,0.2637018,-1.373068,0.35124752
android.sensor.gyroscope,1523730583590,752574697801032,0.2931455,-1.3957049,0.3697829
android.sensor.gyroscope,1523730583610,752574717791657,0.340601,-1.4068924,0.37850955
android.sensor.gyroscope,1523730583630,752574737782282,0.36133552,-1.3766284,0.3806912
android.sensor.gyroscope,1523730583650,752574757774469,0.37306413,-1.3103583,0.37414622
android.sensor.gyroscope,1523730583670,752574777796344,0.38315213,-1.2340001,0.3645993
android.sensor.gyroscope,1523730583690,752574797786969,0.3973242,-1.2086405,0.36596063
android.sensor.gyroscope,1523730583710,752574817779157,0.41613886,-1.1726344,0.3681423
android.sensor.gyroscope,1523730583730,752574837801032,0.4265061,-1.1330853,0.3687008
android.sensor.gyroscope,1523730583750,752574857791657,0.42678535,-1.0962762,0.3779685
android.sensor.gyroscope,1523730583770,752574877782282,0.40715042,-1.1404505,0.42678535
android.sensor.gyroscope,1523730583790,752574897772907,0.38477528,-1.2408069,0.50014156
android.sensor.gyroscope,1523730583810,752574917796344,0.27707103,-1.701696,0.75375533
android.sensor.gyroscope,1523730583830,752574937785407,0.1630661,-2.2004762,1.0117325
android.sensor.gyroscope,1523730583850,752574957777594,0.005986479,-2.7949703,1.3310753
android.sensor.gyroscope,1523730583870,752574977799469,-0.4529653,-4.0183415,2.0992994
android.sensor.gyroscope,1523730583890,752574997790094,-1.1369075,-5.4336987,3.2708516
android.sensor.gyroscope,1523730583910,752575017780719,-1.5247022,-6.1124573,4.345311
android.sensor.gyroscope,1523730583930,752575037804157,-1.5118915,-6.2389936,5.255064
android.sensor.gyroscope,1523730583950,752575057794782,-1.095997,-5.9581175,5.9654655
android.sensor.gyroscope,1523730583970,752575077785407,-0.36187658,-5.4064193,6.4519763
android.sensor.gyroscope,1523730583990,752575097776032,0.5666735,-4.5334926,6.5820727
android.sensor.gyroscope,1523730584010,752575117797907,1.4183418,-3.4421034,6.3150897
android.sensor.gyroscope,1523730584031,752575137790094,1.9850328,-2.3935444,5.778663
android.sensor.gyroscope,1523730584050,752575157780719,2.1909292,-1.6144296,5.0892577
android.sensor.gyroscope,1523730584070,752575177802594,2.2634652,-1.0332873,4.380218
android.sensor.gyroscope,1523730584090,752575197793219,2.325372,-0.42242205,3.6150131
android.sensor.gyroscope,1523730584110,752575217785407,2.252836,-0.11452851,2.9313328
android.sensor.gyroscope,1523730584130,752575237776032,2.077483,-0.09953613,2.3848178
android.sensor.gyroscope,1523730584150,752575257796344,1.9997634,-0.08916887,1.9223056
android.sensor.gyroscope,1523730584170,752575277788532,1.9803902,-0.059707712,1.5383332
android.sensor.gyroscope,1523730584190,752575297779157,1.936757,-0.07225663,1.1892674
android.sensor.gyroscope,1523730584210,752575317801032,1.9081335,-0.08970992,0.84784603
android.sensor.gyroscope,1523730584230,752575337793219,1.9334931,-0.07661995,0.5151339
android.sensor.gyroscope,1523730584250,752575357783844,1.9836714,-0.047438048,0.23561946
android.sensor.gyroscope,1523730584270,752575377774469,2.0747602,-0.022078415,0.025080381
android.sensor.gyroscope,1523730584290,752575397796344,2.1737378,-0.012810716,-0.07553785
android.sensor.gyroscope,1523730584310,752575417786969,2.2610042,-0.0076270886,-0.09299114
android.sensor.gyroscope,1523730584330,752575437779157,2.3117409,-0.012269665,-0.050981067
android.sensor.gyroscope,1523730584350,752575457801032,2.3409228,-0.015271631,-0.016894788
android.sensor.gyroscope,1523730584370,752575477791657,2.2607424,-0.09053023,0.046617743
android.sensor.gyroscope,1523730584390,752575497782282,2.1153915,-0.18734364,0.12107349
android.sensor.gyroscope,1523730584410,752575517774469,1.9773883,-0.2271546,0.1595231
android.sensor.gyroscope,1523730584431,752575537796344,1.8454064,-0.2263343,0.14807373
android.sensor.gyroscope,1523730584450,752575557786969,1.6796001,-0.22197098,0.1126261
android.sensor.gyroscope,1523730584470,752575577777594,1.5058875,-0.22115067,0.032166418
android.sensor.gyroscope,1523730584490,752575597799469,1.2566371,-0.24979152,-0.0051661744
android.sensor.gyroscope,1523730584510,752575617791657,0.9828298,-0.2527935,0.10498156
android.sensor.gyroscope,1523730584531,752575637782282,0.7567573,-0.17479472,0.35941565
android.sensor.gyroscope,1523730584550,752575657804157,0.54649746,-0.057264253,0.6773972
android.sensor.gyroscope,1523730584570,752575677794782,0.23942427,0.022078415,1.15464
android.sensor.gyroscope,1523730584590,752575697785407,0.031625368,0.17261307,1.6542405
android.sensor.gyroscope,1523730584610,752575717776032,0.017715093,0.4027871,2.050762
android.sensor.gyroscope,1523730584631,752575737797907,0.07497934,0.6214943,2.3212879
android.sensor.gyroscope,1523730584650,752575757790094,0.20343557,0.8044746,2.3398232
android.sensor.gyroscope,1523730584670,752575777780719,0.34524357,0.9460208,2.134747
android.sensor.gyroscope,1523730584690,752575797802594,0.36514032,1.0065489,1.8380412
android.sensor.gyroscope,1523730584710,752575817793219,0.21788691,0.9901951,1.5787027
android.sensor.gyroscope,1523730584731,752575837783844,0.13580407,0.9596518,1.3842555
android.sensor.gyroscope,1523730584750,752575857774469,0.18188076,0.9561088,1.2514534
android.sensor.gyroscope,1523730584770,752575877797907,0.14697418,0.9171007,1.0807253
android.sensor.gyroscope,1523730584790,752575897788532,-0.046355944,0.82821107,0.8917411
android.sensor.gyroscope,1523730584810,752575917779157,-0.24270548,0.7412064,0.7483099
android.sensor.gyroscope,1523730584830,752575937802594,-0.3706032,0.689405,0.7368431
android.sensor.gyroscope,1523730584850,752575957793219,-0.33269465,0.66676813,0.7267551
android.sensor.gyroscope,1523730584870,752575977783844,-0.19170697,0.60894537,0.59013075
android.sensor.gyroscope,1523730584890,752575997774469,-0.09707521,0.5099503,0.37306413
android.sensor.gyroscope,1523730584910,752576017796344,-0.040072758,0.3836932,0.13416345
android.sensor.gyroscope,1523730584931,752576037786969,0.06380924,0.25905922,-0.06298893
