Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523730686779,752677888837339,5.4204726,4.9799395,6.2728086
android.sensor.accelerometer,1523730686799,752677908829527,5.5737014,4.9703627,5.4779334
android.sensor.accelerometer,1523730686819,752677928851402,5.8801594,5.0374002,4.596867
android.sensor.accelerometer,1523730686839,752677948842027,6.2345014,4.9895163,4.510676
android.sensor.accelerometer,1523730686859,752677968832652,6.033388,5.00867,5.2002063
android.sensor.accelerometer,1523730686879,752677988824839,5.659893,4.9416323,5.995081
android.sensor.accelerometer,1523730686899,752678008845152,5.9184666,4.9224787,6.244078
android.sensor.accelerometer,1523730686919,752678028837339,6.4643445,4.903325,5.793968
android.sensor.accelerometer,1523730686939,752678048827964,6.694188,4.951209,5.3438582
android.sensor.accelerometer,1523730686959,752678068851402,6.5696893,4.9895163,5.66947
android.sensor.accelerometer,1523730686980,752678088842027,6.349423,5.0278234,6.2249246
android.sensor.accelerometer,1523730686999,752678108831089,6.1387334,5.0374002,6.655881
android.sensor.accelerometer,1523730687019,752678128823277,6.129156,4.8745947,6.3589997
android.sensor.accelerometer,1523730687039,752678148845152,5.9663506,4.817134,6.291962
android.sensor.accelerometer,1523730687059,752678168837339,6.885724,4.55856,6.6367273
android.sensor.accelerometer,1523730687080,752678188827964,5.6120086,4.6926355,5.793968
android.sensor.accelerometer,1523730687100,752678208848277,6.8091097,4.3861775,5.2002063
android.sensor.accelerometer,1523730687120,752678228840464,7.5465236,4.8362875,5.439626
android.sensor.accelerometer,1523730687139,752678248831089,8.504205,6.83784,5.8801594
android.sensor.accelerometer,1523730687159,752678268852964,12.047623,11.176133,9.14585
android.sensor.accelerometer,1523730687179,752678288845152,16.730682,17.0946,11.520899
android.sensor.accelerometer,1523730687199,752678308835777,19.699492,24.162283,9.682152
android.sensor.accelerometer,1523730687219,752678328826402,25.905262,29.12307,10.323798
android.sensor.accelerometer,1523730687239,752678348848277,34.505234,31.411926,13.9438305
android.sensor.accelerometer,1523730687259,752678368840464,39.274487,27.61951,18.540697
android.sensor.accelerometer,1523730687279,752678388831089,37.330395,18.243816,30.186094
android.sensor.accelerometer,1523730687299,752678408852964,37.88585,1.7525556,43.287167
android.sensor.accelerometer,1523730687319,752678428843589,33.327286,-19.230228,38.62326
android.sensor.accelerometer,1523730687339,752678448834214,25.206156,-35.166035,20.350714
android.sensor.accelerometer,1523730687359,752678468826402,16.01242,-42.272026,5.6886234
android.sensor.accelerometer,1523730687379,752678488848277,6.9623384,-45.250412,-3.4380736
android.sensor.accelerometer,1523730687399,752678508838902,-6.081272,-50.814537,-6.943185
android.sensor.accelerometer,1523730687419,752678528829527,-36.22906,-57.748146,-1.8579005
