Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523730695563,752686668826402,0.01881465,-0.027541295,-0.07035422
android.sensor.gyroscope,1523730695581,752686688849839,0.014713125,-0.035709437,-0.07853982
android.sensor.gyroscope,1523730695601,752686708840464,0.0109083075,-0.04225442,-0.07579965
android.sensor.gyroscope,1523730695621,752686728831089,0.01881465,-0.032724924,-0.06817256
android.sensor.gyroscope,1523730695641,752686748852964,0.012531464,-0.04145157,-0.0760789
android.sensor.gyroscope,1523730695661,752686768845152,0.009808751,-0.055623643,-0.095713854
android.sensor.gyroscope,1523730695681,752686788835777,0.00816814,-0.047996555,-0.082623884
android.sensor.gyroscope,1523730695701,752686808826402,0.010629055,-0.027803095,-0.061627574
android.sensor.gyroscope,1523730695721,752686828848277,0.006806784,-0.030264009,-0.061086524
android.sensor.gyroscope,1523730695741,752686848840464,0.0109083075,-0.032724924,-0.06981317
android.sensor.gyroscope,1523730695761,752686868829527,0.010349803,-0.0283616,-0.07199483
android.sensor.gyroscope,1523730695781,752686888852964,0.025900686,-0.005986479,-0.06298893
android.sensor.gyroscope,1523730695801,752686908843589,0.042533673,0.019076448,-0.050178215
android.sensor.gyroscope,1523730695821,752686928835777,0.03598869,0.023439772,-0.03598869
android.sensor.gyroscope,1523730695841,752686948824839,0.025621433,0.021537364,-0.020996312
android.sensor.gyroscope,1523730695861,752686968848277,0.0,0.0,0.0
android.sensor.gyroscope,1523730695881,752686988838902,0.020717058,-0.010629055,-0.10143854
android.sensor.gyroscope,1523730695901,752687008829527,-0.0286234,-0.12789772,-0.22497293
android.sensor.gyroscope,1523730695921,752687028851402,-0.08888962,-0.33677873,-0.3515093
android.sensor.gyroscope,1523730695941,752687048843589,-0.08998918,-0.48076838,-0.35314992
android.sensor.gyroscope,1523730695961,752687068834214,-0.10770427,-0.7946659,-0.42296308
android.sensor.gyroscope,1523730695981,752687088824839,-0.033265974,-0.9424778,-0.31524137
android.sensor.gyroscope,1523730696001,752687108846714,0.11398745,-0.6220353,0.009808751
android.sensor.gyroscope,1523730696021,752687128838902,0.31688198,-0.0951728,0.49631926
android.sensor.gyroscope,1523730696042,752687148827964,0.50096184,0.26806512,0.9817477
android.sensor.gyroscope,1523730696061,752687168849839,0.6280393,0.46986008,1.3998064
android.sensor.gyroscope,1523730696081,752687188842027,0.6782175,0.586867,1.7564994
android.sensor.gyroscope,1523730696101,752687208832652,0.6834011,0.7101221,2.0627522
android.sensor.gyroscope,1523730696121,752687228823277,0.5912303,0.7586597,2.3166454
android.sensor.gyroscope,1523730696142,752687248846714,0.40933207,0.7308566,2.6021638
