Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523730309188,752300297776032,0.48841715,7.4603324,6.339846
android.sensor.accelerometer,1523730309208,752300317797907,0.29688102,7.469909,6.799533
android.sensor.accelerometer,1523730309228,752300337790094,0.18195933,7.489063,6.7612257
android.sensor.accelerometer,1523730309248,752300357780719,0.17238252,7.565677,6.5122285
android.sensor.accelerometer,1523730309268,752300377802594,0.2873042,7.536947,6.646304
android.sensor.accelerometer,1523730309288,752300397793219,0.5267244,7.441179,6.6846113
android.sensor.accelerometer,1523730309308,752300417783844,0.7182605,7.393295,6.579266
android.sensor.accelerometer,1523730309328,752300437776032,0.8619126,7.2304893,6.483498
android.sensor.accelerometer,1523730309348,752300457797907,0.9576807,7.1826053,6.4547677
android.sensor.accelerometer,1523730309368,752300477788532,0.92895025,7.0964136,6.5026517
android.sensor.accelerometer,1523730309388,752300497779157,0.63206923,7.067683,6.5696893
android.sensor.accelerometer,1523730309408,752300517802594,0.2777274,7.086837,6.7324953
android.sensor.accelerometer,1523730309428,752300537793219,0.1436521,7.240066,6.435614
android.sensor.accelerometer,1523730309448,752300557783844,0.40222588,7.6231384,5.793968
android.sensor.accelerometer,1523730309468,752300577774469,0.7469909,8.0445175,5.2385135
android.sensor.accelerometer,1523730309488,752300597796344,1.2545617,8.341399,4.5394063
android.sensor.accelerometer,1523730309508,752300617786969,1.2449849,8.312668,3.8115692
android.sensor.accelerometer,1523730309528,752300637779157,0.90979666,7.881712,3.0933087
android.sensor.accelerometer,1523730309548,752300657801032,0.5267244,7.153875,2.480393
android.sensor.accelerometer,1523730309568,752300677791657,0.39264908,6.2632318,0.842759
android.sensor.accelerometer,1523730309588,752300697782282,0.7182605,5.094861,-0.93852705
android.sensor.accelerometer,1523730309608,752300717774469,1.0151415,3.8019924,-2.6048915
android.sensor.accelerometer,1523730309628,752300737796344,1.1300632,2.327164,-3.667917
android.sensor.accelerometer,1523730309648,752300757786969,1.6280571,0.8619126,-3.6104562
android.sensor.accelerometer,1523730309668,752300777777594,2.3463178,-0.6895301,-2.432509
android.sensor.accelerometer,1523730309688,752300797799469,3.0262709,-2.4133554,-0.9959879
android.sensor.accelerometer,1523730309708,752300817790094,3.5625722,-4.2042184,0.51714754
android.sensor.accelerometer,1523730309728,752300837782282,4.0892963,-5.9184666,1.7812861
android.sensor.accelerometer,1523730309748,752300857804157,4.7022123,-7.8146744,2.9400797
android.sensor.accelerometer,1523730309768,752300877794782,5.363012,-9.844957,4.7979803
android.sensor.accelerometer,1523730309788,752300897785407,6.1387334,-11.63582,7.0485296
android.sensor.accelerometer,1523730309808,752300917777594,6.215348,-13.321339,7.642292
android.sensor.accelerometer,1523730309828,752300937797907,6.253655,-14.901511,9.193734
android.sensor.accelerometer,1523730309848,752300957790094,6.3206925,-16.002844,11.884817
android.sensor.accelerometer,1523730309868,752300977780719,6.0716953,-16.711529,13.522451
android.sensor.accelerometer,1523730309888,752300997804157,6.301539,-17.228676,14.920665
android.sensor.accelerometer,1523730309908,752301017793219,6.540959,-17.353174,15.466543
android.sensor.accelerometer,1523730309928,752301037783844,7.0964136,-17.420212,15.753847
android.sensor.accelerometer,1523730309948,752301057776032,7.575254,-17.420212,15.792154
android.sensor.accelerometer,1523730309968,752301077797907,8.0445175,-17.621325,15.638926
android.sensor.accelerometer,1523730309988,752301097788532,8.418014,-18.215086,15.993267
android.sensor.accelerometer,1523730310008,752301117779157,8.408437,-18.454506,15.638926
android.sensor.accelerometer,1523730310028,752301137802594,8.63828,-18.176779,14.987702
android.sensor.accelerometer,1523730310048,752301157793219,9.232041,-17.860744,14.049175
android.sensor.accelerometer,1523730310068,752301177782282,9.059659,-17.697939,14.60463
android.sensor.accelerometer,1523730310088,752301197776032,8.456321,-17.381905,15.562311
android.sensor.accelerometer,1523730310108,752301217797907,7.6614456,-16.97968,15.610195
android.sensor.accelerometer,1523730310128,752301237788532,6.9623384,-16.108189,14.958972
android.sensor.accelerometer,1523730310148,752301257779157,6.655881,-15.016433,13.551182
android.sensor.accelerometer,1523730310168,752301277801032,6.0238113,-13.637373,11.453861
android.sensor.accelerometer,1523730310188,752301297791657,4.951209,-12.258312,10.697293
android.sensor.accelerometer,1523730310208,752301317782282,4.3287168,-10.860099,10.6398325
android.sensor.accelerometer,1523730310228,752301337774469,3.7924154,-9.394848,10.170568
android.sensor.accelerometer,1523730310248,752301357796344,3.6008794,-7.7572136,10.965444
android.sensor.accelerometer,1523730310268,752301377786969,2.8634653,-5.9184666,12.133814
android.sensor.accelerometer,1523730310288,752301397779157,1.7429788,-3.6966474,12.928689
android.sensor.accelerometer,1523730310308,752301417799469,1.1779473,-1.340753,12.909535
android.sensor.accelerometer,1523730310328,752301437791657,1.340753,0.7565677,13.120225
android.sensor.accelerometer,1523730310348,752301457782282,1.9249382,2.3942018,13.8959465
android.sensor.accelerometer,1523730310368,752301477804157,2.4612393,3.5434184,14.767436
android.sensor.accelerometer,1523730310388,752301497794782,2.3654714,4.060566,14.709975
android.sensor.accelerometer,1523730310408,752301517785407,2.1068976,3.763685,14.700398
android.sensor.accelerometer,1523730310428,752301537776032,1.7908629,2.834735,15.351622
android.sensor.accelerometer,1523730310448,752301557799469,2.9592333,1.4077905,16.280571
android.sensor.accelerometer,1523730310468,752301577790094,4.7022123,-0.2873042,15.68681
android.sensor.accelerometer,1523730310488,752301597780719,6.14831,-2.1164744,16.424223
android.sensor.accelerometer,1523730310508,752301617804157,7.1826053,-4.0222588,18.08101
android.sensor.accelerometer,1523730310528,752301637794782,8.848969,-6.435614,20.379444
android.sensor.accelerometer,1523730310548,752301657785407,11.865664,-9.586384,23.108835
android.sensor.accelerometer,1523730310568,752301677776032,14.4609785,-12.995727,24.880545
android.sensor.accelerometer,1523730310588,752301697797907,17.697939,-17.190369,28.194118
android.sensor.accelerometer,1523730310608,752301717788532,20.197485,-22.486341,30.511707
android.sensor.accelerometer,1523730310628,752301737779157,20.69548,-27.064056,32.66649
android.sensor.accelerometer,1523730310648,752301757802594,21.155167,-31.574732,37.081394
android.sensor.accelerometer,1523730310668,752301777793219,22.467188,-36.94732,45.56645
android.sensor.accelerometer,1523730310688,752301797783844,26.42241,-44.340614,54.951717
android.sensor.accelerometer,1523730310708,752301817774469,33.930626,-52.883125,54.386684
android.sensor.accelerometer,1523730310728,752301837796344,36.79409,-58.1791,47.941494
android.sensor.accelerometer,1523730310748,752301857786969,34.70635,-58.792015,41.007885
android.sensor.accelerometer,1523730310768,752301877779157,27.657818,-53.936577,29.984982
android.sensor.accelerometer,1523730310788,752301897801032,20.082563,-46.830585,20.312407
android.sensor.accelerometer,1523730310808,752301917793219,14.068329,-41.14196,12.583924
android.sensor.accelerometer,1523730310828,752301937783844,8.0924015,-36.296097,3.169923
android.sensor.accelerometer,1523730310848,752301957774469,2.7868507,-31.383196,-5.133168
android.sensor.accelerometer,1523730310868,752301977796344,1.685518,-26.45114,-9.232041
android.sensor.accelerometer,1523730310888,752301997786969,4.0701427,-20.944477,-15.198392
android.sensor.accelerometer,1523730310908,752302017777594,4.5394063,-16.031574,-14.757859
android.sensor.accelerometer,1523730310928,752302037799469,3.3614593,-12.08593,-9.299079
android.sensor.accelerometer,1523730310948,752302057791657,1.3982137,-9.021352,-5.8801594
android.sensor.accelerometer,1523730310968,752302077782282,-0.06703765,-5.66947,-1.6663644
android.sensor.accelerometer,1523730310988,752302097772907,0.047884032,-1.4460979,-0.6895301
android.sensor.accelerometer,1523730311008,752302117794782,1.8004397,2.087744,-1.0630256
android.sensor.accelerometer,1523730311028,752302137785407,2.7581203,4.7788267,-0.11492168
android.sensor.accelerometer,1523730311048,752302157777594,2.1068976,6.6367273,0.47884035
android.sensor.accelerometer,1523730311068,752302177799469,0.49799395,7.785944,1.4460979
android.sensor.accelerometer,1523730311088,752302197790094,-0.90979666,8.772355,0.34476504
android.sensor.accelerometer,1523730311108,752302217782282,-2.2505496,9.299079,4.6160207
android.sensor.accelerometer,1523730311128,752302237804157,-0.22026655,8.475474,4.271256
android.sensor.accelerometer,1523730311148,752302257794782,0.7278373,8.580819,3.7349546
android.sensor.accelerometer,1523730311168,752302277785407,1.0821792,8.523358,3.4955344
android.sensor.accelerometer,1523730311188,752302297777594,1.1971009,8.781932,4.5872903
android.sensor.accelerometer,1523730311208,752302317797907,1.292869,8.944737,3.2082303
android.sensor.accelerometer,1523730311228,752302337790094,1.484405,9.270349,3.323152
android.sensor.accelerometer,1523730311248,752302357780719,2.1547816,8.437167,4.2904096
android.sensor.accelerometer,1523730311268,752302377802594,2.4516625,8.619126,4.6926355
android.sensor.accelerometer,1523730311288,752302397793219,0.92895025,8.532935,4.405331
android.sensor.accelerometer,1523730311308,752302417783844,0.6512229,8.887277,4.012682
android.sensor.accelerometer,1523730311328,752302437776032,1.934515,9.394848,4.6830587
android.sensor.accelerometer,1523730311348,752302457797907,3.2944214,8.944737,3.2752678
android.sensor.accelerometer,1523730311368,752302477788532,2.7006595,9.212888,4.156334
android.sensor.accelerometer,1523730311388,752302497779157,1.6184803,9.241618,3.6774938
