Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523730288694,752279797786969,0.046076693,-0.07579965,-0.08562585
android.sensor.gyroscope,1523730288710,752279817777594,0.046076693,-0.074717544,-0.09599311
android.sensor.gyroscope,1523730288730,752279837801032,0.05644395,-0.07417649,-0.09080948
android.sensor.gyroscope,1523730288750,752279857793219,0.06925467,-0.06571165,-0.07771951
android.sensor.gyroscope,1523730288770,752279877782282,0.08234464,-0.07443829,-0.07771951
android.sensor.gyroscope,1523730288790,752279897774469,0.09871582,-0.08126253,-0.089448124
android.sensor.gyroscope,1523730288810,752279917794782,0.108524576,-0.07389724,-0.08480555
android.sensor.gyroscope,1523730288830,752279937785407,0.12543681,-0.08098327,-0.09979793
android.sensor.gyroscope,1523730288850,752279957777594,0.13444272,-0.09407324,-0.12189379
android.sensor.gyroscope,1523730288870,752279977799469,0.14042918,-0.103620194,-0.13716543
android.sensor.gyroscope,1523730288890,752279997791657,0.15325736,-0.10988593,-0.14643313
android.sensor.gyroscope,1523730288910,752280017782282,0.16852899,-0.10988593,-0.14535102
android.sensor.gyroscope,1523730288931,752280037804157,0.19252726,-0.1044405,-0.13580407
android.sensor.gyroscope,1523730288950,752280057794782,0.22743386,-0.10934488,-0.1409877
android.sensor.gyroscope,1523730288970,752280077785407,0.27160814,-0.12325515,-0.15407766
android.sensor.gyroscope,1523730288990,752280097776032,0.33215362,-0.13552481,-0.16198401
android.sensor.gyroscope,1523730289010,752280117797907,0.39896482,-0.15161675,-0.1696111
android.sensor.gyroscope,1523730289032,752280137790094,0.46713737,-0.18133971,-0.20916025
android.sensor.gyroscope,1523730289051,752280157780719,0.57021654,-0.22769566,-0.29888764
android.sensor.gyroscope,1523730289071,752280177802594,0.7472104,-0.27787387,-0.35669294
android.sensor.gyroscope,1523730289091,752280197794782,0.8590161,-0.330513,-0.37987092
android.sensor.gyroscope,1523730289111,752280217785407,0.9427396,-0.3926991,-0.39350194
android.sensor.gyroscope,1523730289131,752280237776032,0.9591108,-0.44395941,-0.367322
